wavelength,Back_CyaCaef,Belly_CyaCaef,Breast_CyaCaef,Crissum_CyaCaef,Crown_CyaCaef,DorTail_CyaCaef,Patch10_CyaCaef,Rump_CyaCaef,Throat_CyaCaef,WingTip_CyaCaef
235.54,-28.2956666667,-25.3590666667,-29.8819333333,-28.2958,-27.7492333333,-27.0524,-28.8745333333,-29.882,-29.7534,-28.2744
235.91,-28.1012666667,-25.5064,-30.0000666667,-28.1434666667,-27.1623666667,-27.5949333333,-28.6288,-30.4431333333,-29.4514,-28.0801333333
236.29,-21.5920666667,-19.2039333333,-23.5224,-21.7713333333,-20.9054333333,-20.6964666667,-21.8308,-24.1392,-24.5572,-21.6915333333
236.66,-18.3961333333,-15.5748666667,-19.1883333333,-17.6232666667,-16.6762666667,-15.9612666667,-18.7246666667,-20.5990666667,-21.0048,-17.8744
237.04,-14.2491333333,-11.63,-14.6337333333,-13.0035333333,-13.1594,-12.1062666667,-14.7068666667,-16.0805333333,-16.4284666666,-12.8755333334
237.41,-12.7588666667,-10.5832,-12.4108,-10.3395333333,-10.9052,-11.2794,-13.96,-14.7259333333,-14.1516,-10.3917333333
237.79,-10.7542666667,-8.1914,-10.9164666667,-8.14273333333,-8.09413333333,-8.69419999999,-11.5652,-11.2408,-10.9975333333,-8.49973333334
238.17,-7.94586666667,-4.57486666667,-6.93746666667,-5.05653333333,-4.40920000001,-5.64340000001,-7.17833333334,-7.99093333333,-7.25346666666,-5.37246666666
238.54,-6.04253333333,-3.43273333333,-5.36173333333,-3.64533333333,-3.38283333333,-4.04273333333,-5.94326666667,-5.8014,-5.30493333333,-3.61706666667
238.92,-2.05633333333,-0.013133333332,-1.5586,-0.576333333333,-0.569633333335,-0.091666666666,-2.56713333333,-1.87293333333,-1.83353333333,-0.117933333332
239.29,-1.1444,1.28106666667,-0.945333333333,0.273533333333,0.043533333332,0.883,-1.5548,-0.223799999999,-1.194,1.20646666667
239.67,2.05046666667,4.43713333333,2.30826666667,3.54066666667,3.014,3.75353333333,1.8264,3.05886666667,1.85993333333,4.6834
