wavelength,Back_DubTaef,Belly_DubTaef,Breast_DubTaef,Crissum_DubTaef,Crown_DubTaef,DorTail_DubTaef,Patch10_DubTaef,Patch11_DubTaef,Rump_DubTaef,Throat_DubTaef,WingTip_DubTaef
417.58,12.5014,10.4563666667,8.73466666667,14.9776666667,22.0686666667,6.83226666667,32.3821333333,13.1226666667,14.1650666666,4.24426666667,6.8346
417.94,12.543,10.3812333333,8.66313333334,15.0490666667,22.0892666667,6.8528,32.3741333333,13.1969333333,14.1856666667,4.2659,6.83786666667
418.29,12.5287333333,10.2891333333,8.5874,15.0636,22.0978,6.81713333333,32.3615333333,13.2376,14.2008,4.25903333333,6.83353333333
418.65,12.5152,10.2089333333,8.52066666667,15.1002,22.1051333333,6.80526666667,32.3277333333,13.2741333333,14.2110666667,4.25153333333,6.83053333333
419.01,12.4711333333,10.0904,8.43653333333,15.0972,22.0594,6.78886666667,32.2409333333,13.279,14.1865333333,4.22846666667,6.79
419.37,12.4197333333,9.95453333331,8.3152,15.0865333333,21.966,6.7448,32.1741333333,13.2675333333,14.1381333333,4.17263333333,6.74673333333
419.73,12.4202,9.88233333332,8.24546666667,15.1044,21.9387333333,6.74153333333,32.1256,13.2764666667,14.1455333333,4.17876666667,6.75626666667
420.08,12.398,9.79519999999,8.1742,15.095,21.8916666667,6.73106666667,32.0467333333,13.3022,14.1295333333,4.1751,6.7514
420.44,12.3726,9.68186666668,8.06753333333,15.0732,21.8381333333,6.69646666667,31.9419333333,13.2806,14.0900666667,4.14803333333,6.7186
420.80,12.3472666667,9.58633333333,7.98953333333,15.0614666666,21.8005333333,6.6778,31.8878666667,13.2892,14.0718,4.1249,6.68146666667
421.16,12.3535333333,9.52840000002,7.96173333333,15.1074,21.8002666667,6.67606666667,31.8412,13.3275333333,14.0942,4.14006666667,6.7008
421.51,12.3588,9.44470000002,7.89826666666,15.1218666666,21.7626,6.67326666667,31.7792,13.3462666667,14.0863333333,4.1256,6.6892
421.87,12.3367333333,9.36303333332,7.8506,15.1267333333,21.7214666667,6.66226666667,31.734,13.3639333333,14.0805333333,4.12823333333,6.6926
422.23,12.3430666667,9.29243333332,7.78546666667,15.1404666667,21.6726,6.66993333333,31.6614666667,13.3755333333,14.0723333333,4.12783333334,6.66533333333
422.58,12.3152666667,9.20090000001,7.70446666667,15.1482666667,21.6260666667,6.64466666667,31.6265333333,13.3825333333,14.0434666667,4.09996666667,6.63306666667
422.94,12.3075333333,9.14206666667,7.63293333333,15.1621333334,21.5918,6.6366,31.5797333333,13.4029333333,14.0368666667,4.08313333333,6.615
423.30,12.3144666667,9.10606666669,7.60113333333,15.1894,21.5928666667,6.65633333333,31.5472,13.4452666667,14.0622666667,4.10883333333,6.6298
423.66,12.2949333333,9.04456666668,7.5584,15.2,21.5632666667,6.6534,31.4854,13.4673333333,14.0504,4.10023333333,6.61766666667
424.01,12.3098,9.02269999999,7.54266666667,15.2675333333,21.5844666667,6.6774,31.49,13.5178666667,14.0795333333,4.11376666667,6.6508
424.37,12.3037333333,8.98413333335,7.51073333333,15.3104666667,21.5752,6.67933333333,31.4956,13.5730666666,14.0876666667,4.1087,6.65066666666
424.73,12.3121333333,8.96489999999,7.49433333333,15.363,21.5711333333,6.69213333333,31.4671333333,13.6181333333,14.1071333333,4.12546666667,6.6624
425.08,12.294,8.90843333331,7.44366666666,15.3764666667,21.5294666667,6.68993333333,31.3922,13.6201333333,14.0733333333,4.0952,6.6412
425.44,12.2798666667,8.87183333334,7.41533333333,15.4084666667,21.5382,6.68626666667,31.3676666667,13.6658,14.0766,4.09483333333,6.64613333333
425.80,12.2708,8.83493333332,7.38226666667,15.4246666667,21.5052,6.6808,31.2944,13.6788,14.0697333333,4.07003333334,6.62586666667
426.16,12.2646,8.82133333333,7.37,15.4626666667,21.501,6.68806666667,31.2608666667,13.7182666667,14.0778,4.0672,6.64353333333
426.51,12.3076666667,8.84189999999,7.39266666667,15.5392,21.5235333333,6.74526666667,31.2374666667,13.804,14.1150666667,4.11406666667,6.68933333333
426.87,12.3632666667,8.87379999999,7.4372,15.623,21.5538666667,6.79606666667,31.2202666667,13.8809333333,14.1565333333,4.18163333333,6.7474
427.23,12.4192666667,8.91673333333,7.47893333333,15.7398666667,21.5856666667,6.85046666667,31.2202,13.9768666667,14.2000666667,4.2362,6.8034
427.58,12.4620666667,8.93653333333,7.51206666667,15.8332666667,21.6032666666,6.89073333333,31.2008,14.0716666667,14.236,4.27933333333,6.83853333334
427.94,12.4835333333,8.92816666665,7.50773333334,15.886,21.5824,6.8942,31.1368666667,14.1216,14.2457333333,4.27626666667,6.8376
428.30,12.5152,8.96800000001,7.5396,15.9687333333,21.5857333333,6.94013333333,31.0721333333,14.1944,14.2870666667,4.3302,6.88706666667
428.65,12.5602666667,9.00826666665,7.57666666666,16.0515333333,21.6116,6.9852,31.0516666667,14.2846666667,14.3190666667,4.3843,6.95793333333
429.01,12.5941333333,9.047,7.60353333333,16.1292666667,21.6374,7.01813333333,31.0698,14.3867333333,14.3576,4.42273333333,6.99633333333
429.37,12.6076666666,9.05483333333,7.6036,16.1688666667,21.5939333333,7.018,30.9886,14.4258,14.3547333333,4.4252,6.99846666667
429.72,12.6096666667,9.07243333332,7.61106666667,16.2351333333,21.5934,7.02873333333,30.9531333333,14.4919333333,14.3506666667,4.4243,7.00666666667
430.08,12.6059333333,9.07840000001,7.62686666667,16.2723333333,21.5596,7.02053333333,30.8853333334,14.5534,14.3372666667,4.41203333333,7.0028
