wavelength,Back_DigSitf,Belly_DigSitf,Breast_DigSitf,Crissum_DigSitf,Crown_DigSitf,DorTail_DigSitf,Rump_DigSitf,Throat_DigSitf,WingTip_DigSitf
783.74,18.4676666666,40.3501666667,45.0221666667,43.7186904762,19.9795,23.87875,22.8338333334,38.4475,23.4116666666
784.05,18.6395,40.5443333333,45.204,43.823952381,19.8808333334,23.5800833334,22.789,38.6225,23.4521666667
784.36,19.118,41.6923333333,45.6416666666,44.4721904762,21.1951666667,24.2851666666,24.1231666667,38.7301666666,25.0766666666
784.67,19.762,41.9386666667,46.0545,45.135952381,21.9556666666,24.1495,24.5915,39.2855,25.6971666666
784.98,19.5888333333,42.0998333333,44.7163333334,44.8376190476,22.171,24.3290833333,24.8725,38.7188333333,26.5543333334
785.29,19.9831666666,41.8686666667,44.5286666667,44.6463571429,22.4748333333,23.8636666667,24.8821666667,38.1986666666,26.9025
785.60,19.6158333334,42.4505,44.4555,44.2536428571,22.6996666666,24.09825,24.8736666667,37.6645,26.6936666666
785.91,20.0196666667,42.6658333334,43.7893333333,43.9568333334,22.6791666667,24.0585,24.232,37.4461666667,26.8746666667
786.22,19.6941666666,41.9646666667,42.2866666667,43.1034047619,21.4333333333,23.7115833333,23.2045,36.7471666667,26.0871666666
786.53,19.1681666667,41.1406666667,41.7145,42.4952380952,20.953,22.6656666667,22.4028333334,35.5961666666,25.7013333334
786.84,18.9898333333,40.8011666666,41.082,42.333547619,20.6891666667,22.2558333333,21.765,34.4873333334,25.5223333333
787.14,19.9,41.4845,41.9853333333,43.1975952381,21.7061666666,23.23925,22.2831666667,35.8835,26.1993333333
787.45,19.4995,41.5171666666,41.8466666667,42.6688095238,21.5228333334,23.0065,21.9425,36.0013333334,26.0941666667
787.76,18.748,40.901,41.3171666666,42.3559047619,20.77,22.361,20.8443333334,36.6636666667,25.4086666666
788.07,18.5876666667,41.3565,40.928,42.2808809524,20.7003333334,22.4735,20.7151666666,36.2441666667,25.9751666667
788.38,18.5955,41.7258333333,41.5931666667,42.518547619,20.5976666666,22.5855833334,20.6418333334,36.219,25.6775
788.69,18.5925,41.9555,41.5703333333,42.7871428572,19.6593333333,22.2594166667,20.5923333333,36.0738333333,25.363
789.00,20.1103333333,42.904,42.5015,43.5087857143,20.319,22.473,21.273,37.8653333334,26.431
789.31,20.33,43.1576666667,43.1121666666,44.4595238095,20.315,22.74425,21.7228333333,38.374,26.5061666666
789.62,21.0803333333,44.1048333333,44.2746666667,45.3197380953,21.8826666666,23.9351666666,22.392,39.0123333333,27.9475
789.92,21.651,45.2358333333,45.1886666667,46.2309285714,22.4528333334,25.0784166666,22.9716666667,40.173,28.2075
790.23,22.3141666667,46.7216666667,46.4948333333,47.1878333333,23.5151666666,26.4930833334,24.294,41.7886666667,29.5846666667
790.54,21.5676666666,47.0125,46.5088333333,46.9093809524,23.1455,25.82225,24.1858333334,40.8863333334,29.9096666667
790.85,21.7255,46.968,46.7081666667,47.3021190476,23.1633333333,26.2301666666,24.584,41.4416666667,29.8508333333
791.16,21.1858333334,46.909,46.4388333333,47.6291666667,23.0658333333,25.5965833334,24.783,40.9255,29.5373333333
791.47,20.861,46.3023333333,46.2471666667,47.1407142857,22.6453333333,24.94475,24.6686666666,41.1698333333,27.8515
791.78,20.2651666666,45.909,46.004,46.650452381,21.8561666666,24.4130833334,23.5416666667,40.7006666666,26.3448333333
792.08,19.3041666666,45.8333333333,45.948,46.2972857143,22.6106666666,24.9905,23.4325,41.2843333334,26.6245
792.39,18.8901666667,46.423,46.6743333333,47.1216904762,23.7625,26.1793333334,24.8066666666,41.512,27.2813333333
792.70,18.4021666667,46.9625,47.5345,46.4696904762,23.8263333334,25.9369166666,25.365,41.1243333333,26.5286666667
793.01,19.3293333334,47.5936666667,49.1521666667,47.1315952381,24.4775,26.6568333334,26.1933333333,42.0906666666,26.9431666667
793.32,19.4476666667,47.3365,48.492,46.8273333333,24.775,26.9585,26.1655,42.4205,26.9098333334
793.62,19.5186666666,46.4108333333,47.536,46.0611904762,23.865,26.2513333334,25.6885,41.6765,25.3008333333
