wavelength,Back_TanPalf,Belly_TanPalf,Breast_TanPalf,Crissum_TanPalf,Crown_TanPalf,DorTail_TanPalf,Patch10_TanPalf,Patch11_TanPalf,Patch12_TanPalf,Rump_TanPalf,Throat_TanPalf,WingTip_TanPalf
379.80,11.3607777778,42.4506049383,21.7336666667,24.922,18.733,6.761,24.7353333333,4.56844444445,29.6632777778,23.8586666667,35.9301111111,6.56444444444
380.16,11.3825555556,42.5178209877,21.7541111111,24.9477777778,18.7925555556,6.76488888889,24.8021111111,4.62777777778,29.6921111111,23.8833333333,36.0254444444,6.56311111111
380.52,11.3117777778,42.5881790124,21.7227777778,24.8788888889,18.7083333334,6.68566666666,24.7096666667,4.54922222222,29.6862222222,23.814,36.0086666667,6.44377777778
380.88,11.3821111111,42.7428024691,21.8313333333,24.9435555555,18.7858888889,6.62966666667,24.7412222222,4.53033333333,29.781,23.8808888889,36.1127777778,6.458
381.24,11.3898888889,42.7450308642,21.8652222222,24.8865555555,18.7506666667,6.59411111111,24.6563333333,4.58233333333,29.7210555555,23.8038888889,36.1485555556,6.43511111111
381.61,11.3528888889,42.8777160494,21.8606666667,24.8486666667,18.7427777778,6.52844444445,24.6021111111,4.52588888889,29.7607777778,23.811,36.1916666667,6.36122222222
381.97,11.329,42.8965740741,21.8361111111,24.8196666667,18.7024444445,6.41666666667,24.5435555555,4.47455555555,29.7537222222,23.7427777778,36.1136666667,6.33544444444
382.33,11.418,43.0047037037,21.8796666667,24.7998888889,18.7032222222,6.39688888889,24.5637777778,4.47322222222,29.8128888889,23.795,36.234,6.38577777778
382.69,11.465,43.1162469136,21.9214444445,24.8384444445,18.7564444445,6.34588888889,24.5624444444,4.49233333333,29.8824444444,23.7964444444,36.3347777778,6.40988888889
383.05,11.5346666666,43.1756296296,21.945,24.8205555555,18.8196666667,6.34755555556,24.5774444445,4.50011111111,29.9176666667,23.8147777778,36.3892222222,6.40077777778
383.41,11.6572222222,43.2361358025,22.0917777778,24.8342222222,18.9524444444,6.417,24.638,4.56366666667,29.9778333333,23.8734444444,36.4958888889,6.50877777778
383.77,11.8198888889,43.4303333334,22.2293333333,24.96,19.0692222222,6.48211111111,24.7268888889,4.66655555556,30.0772222222,23.9535555556,36.6341111111,6.59522222222
