wavelength,Back_OreFram,Belly_OreFram,Breast_OreFram,Crissum_OreFram,Crown_OreFram,DorTail_OreFram,Patch10_OreFram,Rump_OreFram,Throat_OreFram,WingTip_OreFram
612.60,10.0135,12.1984166667,11.782875,11.8750833333,9.18066666667,11.0619305555,40.3008333333,14.0641666667,11.7799166667,10.9093333334
612.94,9.99416666667,12.2154166667,11.796625,11.88,9.18574999998,11.0543657408,40.2844166667,14.0688333333,11.79425,10.8964166667
613.27,10.0288333333,12.26975,11.8315416667,11.94725,9.20158333335,11.0671759259,40.3066666667,14.0680833333,11.8511666667,10.9170833333
613.61,10.0039166666,12.30325,11.83325,11.93425,9.15899999999,11.0444537037,40.27425,14.0486666667,11.8450833334,10.89425
613.94,9.96591666667,12.34125,11.8687916667,11.94,9.14933333333,11.0313842593,40.29425,14.0283333333,11.8678333333,10.8615
614.28,9.96933333333,12.348,11.8696666667,11.9786666667,9.12858333333,11.0079583334,40.28375,14.03125,11.89225,10.8676666667
614.61,9.91466666669,12.31075,11.8306666666,11.9475833333,9.07216666667,10.9515601852,40.2855833333,13.968,11.8505,10.7900833334
614.94,9.89549999999,12.3446666666,11.8807083333,11.9833333333,9.08191666667,10.9590092592,40.3328333334,13.9529166667,11.8879166666,10.7975833333
615.28,9.93883333332,12.422,11.9352916667,12.0285833333,9.13408333333,10.9672314815,40.35875,13.9760833333,11.9333333333,10.8318333333
615.61,9.97133333333,12.4904166667,11.98025,12.0795,9.17775000002,11.0248657407,40.4629166667,14.0213333333,12.009,10.8536666667
615.95,10.0145833333,12.5778333334,12.0845,12.16375,9.2435,11.0970925926,40.5535833333,14.07525,12.0871666667,10.9101666666
616.28,9.99891666668,12.5913333334,12.07825,12.1710833333,9.24949999999,11.0637638889,40.5365,14.0161666667,12.118,10.8845
616.61,10.0273333333,12.67275,12.1319583333,12.2216666667,9.28308333335,11.0977222222,40.5949166667,14.0366666667,12.1711666667,10.89925
616.95,10.07,12.7725,12.2174166667,12.3020833333,9.33683333332,11.1312546296,40.6421666667,14.0836666667,12.2478333334,10.9378333333
617.28,10.0951666667,12.8324166666,12.2905416667,12.3635,9.36733333333,11.183037037,40.7659166666,14.133,12.3344166667,10.97625
617.62,10.066,12.83475,12.278625,12.3586666667,9.31775,11.1553472222,40.78125,14.1213333333,12.3400833333,10.93975
617.95,10.0483333333,12.8635,12.317875,12.3723333333,9.324,11.1701805556,40.8485833333,14.1,12.3638333333,10.93325
618.28,10.0380833333,12.8996666667,12.34775,12.3971666666,9.32875000001,11.145449074,40.8345833333,14.11425,12.36775,10.9616666667
618.62,10.08575,13.0041666667,12.4364166667,12.463,9.37616666668,11.2037175926,40.8638333333,14.17525,12.4541666667,11.0269166667
618.95,10.0781666667,13.0276666667,12.4941666667,12.4935833333,9.36883333335,11.2385833334,40.85925,14.16925,12.4999166667,11.02225
619.28,10.11975,13.1109166667,12.5677083333,12.5864166667,9.41049999999,11.2732870371,40.90625,14.1979166667,12.5863333333,11.0833333333
619.62,10.0210833333,13.0669166667,12.4865416667,12.549,9.31141666667,11.1728981482,40.8289166667,14.0920833333,12.5363333334,10.9936666667
619.95,9.9845,13.0956666667,12.4685,12.5625833333,9.27266666667,11.1445740741,40.8395833333,14.0915833333,12.5664166667,10.9904166667
620.28,9.94341666666,13.07625,12.4439583333,12.5835,9.23466666668,11.1002407407,40.8130833334,14.0710833333,12.5591666667,10.9795833333
620.62,9.85475,13.0143333333,12.4102083333,12.5329166666,9.17541666667,11.0571111111,40.7470833333,13.9924166667,12.5203333333,10.9355
620.95,9.85975000001,13.0405,12.4337083333,12.5674166667,9.18225000001,11.0407777778,40.70525,13.9564166667,12.5540833333,10.9335833333
621.28,9.8915,13.1356666666,12.494,12.6430833333,9.27766666665,11.0884444444,40.6986666666,13.94725,12.6165833333,10.9941666666
621.62,9.87683333334,13.182,12.490375,12.6545,9.27424999999,11.0840555556,40.6211666667,13.9278333333,12.6280833334,10.9860833333
621.95,9.871,13.2030833333,12.5190833333,12.6704166667,9.26658333333,11.0976759259,40.622,13.9125833333,12.6468333333,10.9661666667
622.28,9.84641666668,13.1976666667,12.486375,12.688,9.22625,11.072662037,40.60275,13.8716666667,12.62975,10.9159166667
622.62,9.85341666667,13.23325,12.4905,12.7171666666,9.20900000002,11.054162037,40.6138333333,13.8841666667,12.6494166667,10.8993333333
622.95,9.84674999999,13.23175,12.50825,12.7223333333,9.19525000002,11.0217962963,40.5965,13.8666666667,12.6190833333,10.89625
623.28,9.87483333333,13.2645,12.5719583333,12.7395833333,9.21950000002,11.0313287037,40.5996666667,13.90375,12.6566666667,10.9315833333
623.62,9.83900000002,13.24475,12.5802916667,12.6916666667,9.19775,10.9921944444,40.4989166667,13.8404166667,12.6326666667,10.8985
623.95,9.88700000001,13.29375,12.6449583334,12.7091666666,9.21966666667,11.030875,40.47125,13.85975,12.68875,10.9265
624.28,9.96025,13.4069166666,12.7399583333,12.8000833333,9.28524999999,11.0958055556,40.5376666666,13.9433333333,12.7958333334,10.9739166667
624.62,9.90108333334,13.3964166666,12.6892916667,12.7968333334,9.2365,11.0338472222,40.5448333333,13.9135833333,12.7870833334,10.9255833333
624.95,9.91233333334,13.42525,12.7310833333,12.80175,9.20108333335,11.0300370371,40.5246666667,13.9301666667,12.8248333333,10.929
625.28,9.90641666668,13.4636666667,12.7845416667,12.8469166667,9.19166666669,11.02575,40.6181666667,13.9251666667,12.8641666667,10.93375
625.61,9.86908333332,13.4919166667,12.7906666667,12.84325,9.17191666665,11.0110046296,40.5673333333,13.8905,12.8815,10.92025
625.95,9.82441666667,13.4764166667,12.774875,12.8265,9.13283333334,10.9453148148,40.4589166667,13.8395,12.86375,10.8818333333
626.28,9.83216666667,13.5199166667,12.8165,12.8739166667,9.16041666667,10.9837731482,40.48325,13.8500833333,12.9300833333,10.9218333333
626.61,9.83816666667,13.5794166666,12.8585,12.9168333333,9.17758333332,11.0210138889,40.48325,13.8764166667,12.9898333333,10.9154166667
626.94,9.87483333335,13.6534166666,12.9114583333,13.00125,9.20441666667,11.0784861111,40.53425,13.8691666667,13.0515833333,10.9565833334
627.28,9.88566666666,13.7324166667,12.9675833333,13.0599166667,9.21458333334,11.1258425926,40.6055833333,13.9053333333,13.09175,10.97925
627.61,9.86166666666,13.7655,12.9924583333,13.10375,9.20358333334,11.1165092592,40.62525,13.8931666667,13.11775,10.9751666667
627.94,9.82175,13.7678333333,12.969875,13.098,9.15875,11.0874675926,40.5858333333,13.83125,13.1083333333,10.9579166667
