wavelength,Back_SalSimm,Belly_SalSimm,Breast_SalSimm,Crissum_SalSimm,Crown_SalSimm,DorTail_SalSimm,Patch10_SalSimm,Patch11_SalSimm,Patch12_SalSimm,Patch13_SalSimm,Rump_SalSimm,Throat_SalSimm,WingTip_SalSimm
223.87,2716.66666667,2010.0,1961.66666667,1456.66666667,2220.0,2920.0,2643.33333333,2450.0,1733.33333333,2166.66666667,2543.33333333,1586.66666667,1966.66666667
224.24,2873.33333333,2193.33333333,2156.66666667,1533.33333333,2290.0,2980.0,2946.66666667,2523.33333333,1796.66666667,2330.0,2660.0,1780.0,2068.33333333
224.62,-441.4816,-290.370266667,-278.1483,-180.7406,-320.7408,-439.259066667,-471.111133333,-383.7036,-189.629666667,-342.963133333,-410.370533333,-191.111066667,-275.925966667
225.00,-66.8888666666,-26.6666,-22.8887,1.77779999999,-33.3332666667,-57.5556000001,-82.2221333333,-52.6666666667,7.11106666665,-44.0,-69.1110666667,1.77773333333,-27.5556333333
225.38,-34.1086,-9.61233333333,4.96123333334,7.59680000001,-15.969,-28.0618666667,-42.1705333333,-34.5736,22.3256666667,-22.6356666667,-38.9147333333,12.7132666667,-10.3101
225.75,-21.9258666667,4.74073333331,12.4444333333,5.92606666667,-12.1481333333,-17.6296666667,-37.4814666667,-31.1111333333,29.7778666667,-15.4074666667,-24.7406666667,20.8889333333,-1.03703333333
226.13,4.91226666668,25.9648666667,28.4796,23.5087333334,7.83633333332,5.848,-7.71926666666,-0.818599999994,40.9356666667,7.83633333334,0.116933333328,42.4560666667,26.8420666667
226.51,8.28826666665,20.4504666667,28.4683666667,20.901,3.964,9.27933333334,-0.90080000002,3.69359999999,28.6488,8.28820000001,-0.810799999994,35.6756666667,23.6486666667
226.88,16.0943333333,23.0303333333,33.4679666667,24.4444666667,11.3130666667,16.229,5.99326666666,12.9965333333,29.091,13.7373333333,6.86873333334,36.9024,27.4074333333
227.26,18.7829333333,26.0318,33.4921333333,25.1322,17.1428666667,20.9525333333,12.2222666667,18.8359333334,31.3228,18.8889333333,12.5396666667,37.8306666667,31.5079
227.64,16.6222,22.0000666667,29.2667,19.7334666667,13.9111333333,15.6445333333,9.86673333334,15.0222666667,24.0890666667,14.1778666667,11.4666,34.5333333333,27.4444333333
228.01,18.0497333333,24.8582666667,29.0426333333,20.3899333333,14.9644666667,18.6878666667,14.8936,17.0922,25.993,14.3262666667,14.1844,34.5744,26.8439333333
228.39,17.5438666667,24.1467333333,25.6300333334,19.2664666667,14.0669333333,17.8309333333,15.2470666667,16.0127333333,24.9122666667,12.9825333333,12.9506,32.5996666667,26.1882666667
228.76,15.3304666667,21.8564666667,23.0801666667,18.0872,10.6891333333,16.5682,14.346,13.8397333333,21.6034666667,11.9831333333,11.3924666667,28.0450666667,24.8665
229.14,10.873,17.3544,18.3597666667,13.148,5.29099999999,11.5609333333,10.9788666667,8.80946666667,15.3174666667,7.46033333333,6.79893333333,22.2222666667,20.3175333333
229.52,9.39513333333,15.8558,13.8996666667,10.7335333333,3.14026666666,9.36933333335,8.05666666667,6.69233333333,11.9691333333,5.58566666667,4.01540000001,20.1287333333,19.1891333334
229.89,7.23086666667,13.2563333333,10.9103333333,9.56420000001,1.66666666667,7.79486666667,6.25653333333,5.17946666667,8.25646666667,3.84613333333,1.10246666667,18.0769333333,18.2179333333
230.27,5.80246666666,11.0864666667,9.85186666667,7.16059999999,-0.0741999999994,6.76539999999,5.40746666667,3.72833333333,6.91360000001,2.27166666667,0.568000000002,14.7407333333,15.7406333333
230.65,4.16013333333,9.27646666667,7.11896666667,5.4264,-1.60206666667,5.09039999999,3.9534,1.47293333334,5.14206666667,1.62786666666,0.516866666666,14.1602,15.0905
231.02,1.23153333333,6.42566666667,0.910233333333,0.749666666666,-6.15793333333,-0.026866666668,-0.481933333334,-3.56086666667,2.46313333333,-1.3654,-3.74833333333,11.6198666667,11.4859
231.40,-4.95799999999,1.48466666667,-5.4202,-5.21013333334,-13.6134,-7.08686666666,-6.47073333334,-10.196,-3.33333333333,-7.39500000001,-9.776,5.23819999999,4.72
231.78,-7.40406666667,-1.75113333334,-10.2151,-7.92626666667,-17.0506666667,-8.72513333334,-9.67746666667,-13.272,-6.20586666667,-10.0154666667,-14.1014,2.39626666666,1.4286
232.15,-9.27960000001,-4.38853333334,-14.2378333333,-8.94466666667,-19.9329333333,-10.9547333333,-12.9313333333,-15.0084,-9.98313333332,-10.7872,-15.6113333333,0.201133333342,0.418866666672
232.53,-18.764,-13.5955333333,-23.427,-16.4795333333,-30.412,-20.2248,-22.3595333333,-24.5318666667,-19.7752666667,-18.5393333333,-24.2696666667,-8.27733333333,-7.84640000001
232.90,-27.7018666667,-21.1594666666,-32.5674333333,-25.88,-38.2608,-30.1449333334,-30.6004,-31.6356,-28.1986,-27.0392666667,-32.0911333333,-13.1677333333,-14.6997
233.28,-30.7894666667,-22.6754,-36.1841666667,-28.5086666666,-39.8245333333,-34.0789333333,-34.693,-34.1228,-29.2104666667,-29.1227333333,-34.693,-13.6842,-15.9428666667
233.66,-27.2483333333,-20.5368666667,-33.5795,-27.1588666667,-36.4205333333,-31.5883333333,-31.0962666667,-28.2774,-24.6086,-24.8322666667,-30.0223333333,-10.2012666667,-13.6913666667
234.03,-27.0537333333,-19.8280666667,-32.0861,-27.7849333333,-36.086,-29.4623333333,-29.7204,-27.3118,-22.0645333333,-24.559,-27.9999333333,-11.57,-15.5483333333
234.41,-37.4496666667,-29.3959333333,-44.6085333333,-36.9128,-46.5323333333,-39.5972,-39.6419333334,-37.7627333333,-30.4250666667,-34.4967333333,-38.7472,-21.6108,-23.2661666667
234.78,-32.5971333333,-21.6768666667,-37.0552,-28.8342,-39.3456,-31.9018,-33.1287333333,-29.693,-24.5805333333,-28.3843333333,-33.7832,-17.2594666667,-17.4846
