wavelength,Back_AniLacf,Belly_AniLacf,Breast_AniLacf,Crissum_AniLacf,Crown_AniLacf,DorTail_AniLacf,Patch10_AniLacf,Patch11_AniLacf,Patch12_AniLacf,Patch13_AniLacf,Rump_AniLacf,Throat_AniLacf,WingTip_AniLacf
403.24,12.9472,8.59808333334,6.7308,7.50633333333,13.0874,8.43106666667,10.1126666667,10.4693333333,27.0756666667,11.3044666667,28.0454666667,7.19926666667,9.42446666667
403.60,12.9048,8.54858333333,6.6934,7.46466666667,13.0864666667,8.40026666667,10.1079333333,10.4537333333,27.0504666667,11.2867,28.0524,7.1818,9.41919999999
403.95,12.875,8.49412499999,6.6538,7.444,13.0642666667,8.36406666667,10.0881333333,10.424,27.0450666667,11.2532,28.0296,7.12786666667,9.38273333334
404.31,12.8704666667,8.467875,6.62093333333,7.4126,13.0288666667,8.32673333333,10.0694,10.3824,27.0004666667,11.2163666667,27.9978666667,7.096,9.34606666666
404.67,12.8583333333,8.43791666666,6.60493333333,7.36766666667,13.0072666667,8.28833333333,10.0351333333,10.3394666667,26.9846,11.2039,28.0094666667,7.06326666666,9.33473333333
405.03,12.8420666667,8.43554166667,6.62213333333,7.35413333333,13.0388666667,8.28686666667,10.0416666667,10.3547333333,26.9914,11.2171333333,28.0253333333,7.06966666667,9.35126666667
405.39,12.8412666667,8.42883333333,6.64893333333,7.35153333333,13.0773333333,8.3274,10.0545333333,10.3774666667,26.9768666666,11.2336333333,28.0414,7.07973333333,9.37320000001
405.75,12.822,8.398125,6.59066666667,7.30506666667,13.0317333333,8.31733333333,10.0186666666,10.3580666667,26.9531333333,11.2058333333,28.0102,7.04626666667,9.33413333334
406.11,12.7595333333,8.32995833334,6.51553333333,7.2346,12.9824666667,8.2762,9.93506666667,10.2965333333,26.8917333333,11.1239,27.9492666667,6.98306666667,9.27553333334
406.47,12.753,8.30499999999,6.50633333333,7.20906666667,12.9738,8.2576,9.90626666667,10.2832,26.8693333333,11.1173333333,27.9467333333,6.96513333333,9.25846666666
406.83,12.7209333333,8.241625,6.4856,7.18326666667,12.9449333333,8.20486666667,9.87266666667,10.2458666667,26.809,11.0981,27.8992666667,6.95693333333,9.22826666667
407.19,12.7191333333,8.19799999999,6.47113333333,7.17153333333,12.9336666667,8.18186666667,9.87073333333,10.2294666667,26.786,11.0944666667,27.8946666667,6.94226666667,9.20466666666
407.55,12.7337333333,8.19125000001,6.4672,7.16693333333,12.9342666666,8.19093333333,9.86893333334,10.2030666667,26.7858,11.0868333333,27.9069333334,6.93206666667,9.16846666667
407.90,12.7325333333,8.18420833332,6.44326666667,7.12533333333,12.9186,8.20646666667,9.85653333331,10.2010666667,26.7281333333,11.0771,27.8685333333,6.93486666667,9.1656
408.26,12.7712666667,8.21841666666,6.4814,7.15413333333,12.9896,8.2672,9.91653333334,10.2832666667,26.7742666667,11.1321,27.9244666667,6.98053333333,9.2362
408.62,12.8248,8.28991666666,6.52346666667,7.22173333333,13.0809333333,8.35173333333,9.98033333333,10.3597333333,26.8368,11.1951666667,27.9612666667,7.05493333333,9.3006
408.98,12.9034666667,8.34420833334,6.5806,7.29266666667,13.1466,8.43266666667,10.0354,10.4342,26.9098666667,11.2520666667,28.0387333333,7.1234,9.36953333333
409.34,12.9256666667,8.34787500001,6.58746666667,7.31233333333,13.1496666667,8.40613333333,10.0476666667,10.4392,26.9306,11.253,28.0446666667,7.1282,9.37633333334
409.70,12.8724666667,8.29358333332,6.54906666666,7.2826,13.1162666667,8.36126666667,10.0181333333,10.384,26.8673333333,11.2172,28.0141333333,7.09513333333,9.34319999999
410.06,12.9014,8.30441666667,6.58106666667,7.31073333333,13.1528666667,8.38086666666,10.0572,10.4042,26.8471333333,11.2544333333,28.0236666667,7.11453333333,9.35286666666
410.42,12.9267333333,8.31354166668,6.62053333333,7.34353333333,13.1970666667,8.426,10.1182,10.4536,26.8726666667,11.2853,28.0527333333,7.1586,9.37340000001
410.77,12.973,8.37349999999,6.6516,7.38853333333,13.2555333333,8.4984,10.196,10.5057333333,26.918,11.3364,28.1272666667,7.207,9.40913333333
411.13,12.9644,8.364125,6.65066666667,7.38346666667,13.2679333333,8.51273333333,10.2046666667,10.5216,26.8710666667,11.3193666667,28.1218,7.21133333333,9.41199999999
411.49,12.9712666667,8.348,6.667,7.37413333333,13.3014666667,8.50679999999,10.1896666667,10.5559333333,26.8422666667,11.3105666667,28.1014,7.2278,9.43240000001
411.85,12.9560666667,8.28612500001,6.63966666667,7.33873333333,13.3038,8.46846666667,10.1515333333,10.5404666667,26.8037333333,11.2992666666,28.0592,7.19933333333,9.40586666667
412.21,12.9322666666,8.22974999999,6.61006666667,7.30893333333,13.2935333333,8.43946666667,10.1216666667,10.5076666667,26.7851333333,11.2791666667,28.0377333333,7.17126666667,9.38086666666
