wavelength,Back_TanCyom,Belly_TanCyom,Breast_TanCyom,Crissum_TanCyom,Crown_TanCyom,DorTail_TanCyom,Patch10_TanCyom,Patch11_TanCyom,Patch12_TanCyom,Patch13_TanCyom,Rump_TanCyom,Throat_TanCyom,WingTip_TanCyom
237.04,12.06975,10.9390833333,16.7895,12.5613333333,10.8723095238,10.176875,11.6029166667,12.5860833333,9.16908333333,7.44825,25.0738333333,9.31649999997,12.2911666667
237.41,5.44383333332,4.79875,12.21625,6.81116666666,4.97211904763,4.64408333333,5.44366666667,6.44983333335,3.328,0.825666666668,20.098,2.63158333333,6.95291666666
237.79,3.33841666667,3.53908333333,10.542125,5.37158333333,3.24508333334,4.07895833333,4.34241666667,4.89450000003,1.80724999999,0.22583333334,18.1475833333,1.22983333333,5.78575
238.17,3.69541666667,4.31558333333,10.0942916667,6.96916666667,4.09233333334,5.07170833333,5.20833333334,6.77091666666,2.35633333335,2.55458333332,18.32825,2.13291666666,6.436125
238.54,4.88258333333,5.49291666667,10.83325,8.47416666666,5.35541666668,6.737125,6.17366666666,9.24883333334,3.54466666667,4.34275000001,19.4365833333,4.06083333333,7.406
238.92,4.55175,5.04975,10.5978333333,6.74816666666,4.11807142857,5.09520833333,4.75525,9.23925,2.08341666668,3.07966666668,18.2745,3.53266666667,5.17433333333
239.29,3.80458333333,4.50633333334,10.9032916667,5.95575000001,3.54553571429,4.0195,4.59708333333,8.94474999999,0.883083333342,1.74375,18.2291666666,2.8305,3.963
239.67,2.08341666666,3.30875,9.96737500001,5.06533333333,3.11047619048,2.89020833333,3.9625,8.21091666668,0.265583333325,1.34824999999,16.89125,2.1445,1.76670833333
240.04,2.25275,4.70683333333,9.91758333333,5.12808333333,3.08210714285,2.88466666667,4.76191666666,8.88291666665,1.41041666667,1.77666666666,15.9156666667,4.45041666667,2.61
240.42,0.9935,3.33333333334,7.55604166668,4.02241666667,2.06036904762,1.979125,3.62175,7.11541666665,0.272333333342,0.512916666667,13.9743333333,3.70191666667,1.02570833333
240.79,1.36066666667,3.30225,6.80974999999,3.5855,1.75338095238,1.64416666666,3.4865,6.68933333334,0.609333333332,0.72283333333,12.9535833333,3.92575,1.69345833333
