wavelength,Back_EmbPlaf,Belly_EmbPlaf,Breast_EmbPlaf,Crissum_EmbPlaf,Crown_EmbPlaf,DorTail_EmbPlaf,Patch10_EmbPlaf,Patch11_EmbPlaf,Rump_EmbPlaf,Throat_EmbPlaf,WingTip_EmbPlaf
356.20,4.64026666667,20.5272666667,8.18066666667,7.46886666667,4.43493333333,6.02446666666,7.65746666667,4.34766666667,5.0742,11.1202,5.17533333333
356.56,4.62546666667,20.5409333333,8.111,7.43613333333,4.34973333333,5.91373333333,7.62506666667,4.26286666667,5.06986666667,11.0963333333,5.14693333333
356.93,4.62966666667,20.589,8.1488,7.44953333333,4.341,5.88293333333,7.5854,4.22213333333,5.07993333334,11.0989333333,5.16553333333
357.29,4.549,20.5932666667,8.06873333333,7.3418,4.289,5.7542,7.43506666667,4.0696,4.97733333333,10.9916,5.07626666667
357.66,4.55793333333,20.6821333333,8.1128,7.4294,4.36033333333,5.7954,7.4944,4.0322,5.05746666667,11.0678,5.17046666667
358.02,4.49306666667,20.8028666667,8.09506666667,7.45033333333,4.29753333333,5.74986666667,7.47593333333,4.00993333333,5.02693333333,11.1119333333,5.21713333333
358.38,4.4732,20.8092,8.07373333333,7.45673333333,4.23206666667,5.67553333333,7.455,3.96493333333,5.03486666667,11.0953333333,5.2478
358.75,4.4546,20.907,8.1276,7.45613333333,4.1914,5.63966666667,7.46066666667,3.94853333333,5.0102,11.1300666667,5.2708
359.11,4.42473333333,20.9613333333,8.1204,7.4696,4.115,5.5966,7.42873333333,3.92186666667,4.97973333333,11.1211333333,5.232
359.48,4.42693333333,21.0722666667,8.1902,7.5328,4.08193333333,5.56966666667,7.44946666667,3.91513333334,4.96173333333,11.2348666667,5.23926666666
359.84,4.44173333333,21.1000666667,8.2338,7.56253333333,4.07086666667,5.54666666667,7.45393333333,3.93313333333,4.97526666667,11.2809333333,5.1742
360.20,4.45126666667,21.0730666667,8.26086666667,7.58313333333,4.0606,5.55246666667,7.44613333333,3.95826666667,4.97006666667,11.3670666667,5.15813333333
360.57,4.5584,21.2686,8.43426666667,7.71926666667,4.25353333333,5.69773333333,7.6034,4.11886666667,5.07353333333,11.5445333333,5.2294
360.93,4.57693333333,21.3914666667,8.46233333333,7.75773333333,4.25053333333,5.74453333333,7.66606666667,4.14293333333,5.092,11.6218666667,5.19726666667
361.29,4.70133333333,21.5298,8.567,7.89606666667,4.36146666667,5.8474,7.76853333333,4.28013333333,5.19946666667,11.7132,5.26806666667
361.66,4.64293333333,21.5138666667,8.53706666667,7.8248,4.31793333333,5.762,7.66613333333,4.21606666667,5.16233333333,11.6709333333,5.15226666667
362.02,4.76886666667,21.644,8.68173333333,7.93453333333,4.44193333333,5.87646666667,7.73226666667,4.33913333334,5.30813333333,11.7568,5.2248
362.39,4.7538,21.7264666667,8.72493333333,7.96513333333,4.4618,5.89026666667,7.71773333334,4.3444,5.30266666667,11.8102666667,5.21406666667
362.75,4.9134,21.9448666667,8.8526,8.10306666667,4.56286666667,5.9834,7.82513333334,4.47993333333,5.38653333333,11.9531333333,5.2994
363.11,5.11986666667,22.1452,9.08853333333,8.3082,4.7426,6.1474,7.9846,4.6632,5.56553333333,12.1490666667,5.43846666667
363.48,5.36946666667,22.3014,9.2948,8.5388,4.94986666667,6.3762,8.1646,4.88846666667,5.79393333333,12.3292666667,5.66573333333
363.84,5.5054,22.4502666667,9.41473333333,8.7176,5.10373333333,6.5314,8.31326666667,5.057,5.93326666667,12.4786666667,5.82306666667
364.20,5.51213333333,22.5834,9.43073333333,8.75466666669,5.1646,6.53573333333,8.3138,5.08873333333,5.95893333334,12.4895333333,5.87766666667
364.57,5.42586666667,22.5774666667,9.33013333333,8.66473333333,5.03913333333,6.43806666666,8.2014,4.98773333333,5.88393333333,12.4209333333,5.77366666667
364.93,5.468,22.6682,9.41046666667,8.74306666665,5.11846666667,6.4532,8.20013333333,5.01166666667,5.922,12.444,5.79833333333
365.29,5.56793333333,22.843,9.54679999999,8.85913333332,5.2084,6.5434,8.29406666667,5.10653333333,6.03506666667,12.5958,5.9244
365.66,5.591,23.0258,9.586,8.92793333333,5.2038,6.5988,8.31733333333,5.1742,5.99966666667,12.6918666667,5.947
366.02,5.5078,23.0842666667,9.57126666666,8.91686666667,5.19093333333,6.53933333333,8.2658,5.13213333333,5.9204,12.7224666667,5.8542
366.38,5.54253333333,23.1459333333,9.59293333333,8.91646666668,5.18013333333,6.53126666667,8.28393333333,5.13706666667,5.9206,12.7468666667,5.8272
366.75,5.47673333333,23.1028666667,9.54026666667,8.87459999999,5.1418,6.4792,8.19893333333,5.06026666667,5.90233333333,12.723,5.762
367.11,5.27913333333,23.0353333333,9.37926666666,8.69053333334,4.99753333333,6.32593333333,8.01553333333,4.90553333333,5.724,12.6412,5.62133333333
367.47,5.05506666667,22.9425333333,9.17373333333,8.4772,4.81,6.06413333334,7.78653333333,4.6688,5.51646666667,12.5098666667,5.30673333333
367.84,4.84233333333,22.929,9.05206666667,8.27020000001,4.6252,5.83486666667,7.5784,4.446,5.33206666667,12.3916666667,5.04066666667
368.20,4.95653333333,23.1084,9.21353333333,8.37433333333,4.72326666667,5.92933333333,7.6688,4.52933333333,5.40633333333,12.5007333333,5.08346666667
368.56,5.06273333333,23.3016,9.38746666667,8.50593333332,4.85753333333,5.99213333333,7.71653333333,4.63633333333,5.4794,12.6538,5.201
368.93,5.03926666667,23.4127333333,9.36360000001,8.45686666667,4.8094,5.97713333333,7.69346666667,4.65666666667,5.43686666667,12.6336,5.16146666667
369.29,4.9686,23.3869333333,9.32706666667,8.424,4.75626666667,5.88833333333,7.61886666667,4.59486666667,5.36513333333,12.5950666667,5.0522
369.65,5.01293333333,23.4992,9.4216,8.5212,4.80806666667,5.92573333333,7.66086666667,4.58813333333,5.4394,12.6306,5.0908
370.01,4.92106666666,23.4728666667,9.36026666667,8.43786666666,4.7142,5.84446666667,7.556,4.4426,5.35093333333,12.5342666667,4.99646666667
370.38,4.8464,23.4755333333,9.39613333333,8.42466666666,4.6916,5.80833333333,7.4734,4.4152,5.31793333333,12.4847333333,4.93166666667
370.74,4.86793333333,23.6128666667,9.50513333334,8.51493333334,4.7664,5.88093333333,7.53186666667,4.48713333333,5.3656,12.5766666666,5.0068
371.10,4.97746666666,23.7292666666,9.65300000001,8.65353333333,4.85113333333,5.97946666667,7.59293333333,4.59453333333,5.48373333333,12.6548666667,5.11186666667
371.46,4.9936,23.8511333334,9.78306666667,8.74186666665,4.9138,6.04286666667,7.6368,4.67526666667,5.52266666667,12.7164666666,5.23133333333
371.83,5.05946666667,23.9736666667,9.8866,8.85833333331,4.98986666667,6.13346666667,7.70273333333,4.79866666667,5.59246666667,12.79,5.36153333333
372.19,5.007,23.9445333333,9.84906666667,8.82646666667,4.9008,6.06246666666,7.6246,4.75453333333,5.55053333333,12.7858666667,5.30593333333
372.55,5.0344,23.9955333333,9.90053333331,8.88899999999,4.9154,6.1292,7.62653333333,4.79,5.60713333333,12.8474666666,5.33366666667
372.92,5.0616,24.0466,9.97926666665,8.96926666666,4.97326666666,6.159,7.61906666667,4.83053333333,5.6886,12.9650666667,5.3564
373.28,5.0354,24.1938,10.0164,8.99473333331,4.9692,6.1562,7.57306666667,4.87873333333,5.66373333333,13.0356,5.36113333333
373.64,5.1406,24.2502,10.103,9.04973333335,5.04413333333,6.1836,7.5574,4.9788,5.72513333333,13.0963333333,5.43233333333
