wavelength,Back_CreDenm,Belly_CreDenm,Breast_CreDenm,Crissum_CreDenm,Crown_CreDenm,DorTail_CreDenm,Patch10_CreDenm,Rump_CreDenm,Throat_CreDenm,WingTip_CreDenm
769.13,9.54383333331,18.8678333333,14.4105416666,16.9836666667,36.2784166667,9.51766666667,5.56858333333,10.547625,11.582,12.5285833333
769.44,9.25716666667,18.6458333334,14.5493333333,17.0606666667,36.2635833333,9.33887500001,5.59791666667,10.405375,11.2906666667,12.7264166667
769.76,9.34074999999,18.76375,14.5900833333,17.0786666667,36.4926666667,9.370625,5.86533333333,10.5105,11.5613333333,12.8205833333
770.07,8.76316666667,17.7970833334,13.8265833333,16.4704166667,35.767,8.48525,5.11041666666,9.86083333334,10.6221666667,12.0235833334
770.38,8.44191666666,17.3366666667,13.557125,16.2656666667,35.4095833333,8.59508333333,5.17183333333,9.87183333333,10.3435833333,11.9855833334
770.69,8.27191666666,16.9360833333,13.6059166667,16.12775,35.0443333333,8.664125,4.94875,9.48195833333,9.92616666665,11.9635833333
771.00,8.70041666667,17.7781666667,14.3387916667,16.6760833333,35.6659166667,9.59508333334,5.47125,10.065,10.41775,12.6025833333
771.32,9.04766666666,18.0095833333,14.8262083333,16.8715,35.5094166666,9.97858333333,5.77616666667,10.1071666667,10.8476666667,12.7619166667
771.63,9.30708333333,18.3206666667,15.2352916667,17.06775,36.06375,10.1953333333,6.02375000001,10.5477083334,11.0198333333,13.0063333333
771.94,8.87941666666,17.9595,14.8175416667,16.77675,36.0794166667,9.72620833332,5.70241666667,10.1697916667,10.58825,12.61775
772.25,8.87800000001,18.1463333333,14.9249583333,16.7643333333,36.5238333333,9.69754166666,5.95450000001,10.3935416667,10.4603333333,12.6644166667
772.56,9.51716666667,18.9055833333,15.4879583333,17.3051666667,36.6893333333,10.4744166667,6.65533333334,11.1309166667,11.16425,13.3158333333
772.87,9.85275000001,19.5958333333,15.6745416667,17.2149166667,37.3434166667,10.8971666667,7.17941666668,11.5209166667,11.8055833333,13.50775
