wavelength,Back_ThrPalm,Belly_ThrPalm,Breast_ThrPalm,Crissum_ThrPalm,Crown_ThrPalm,DorTail_ThrPalm,Patch10_ThrPalm,Patch11_ThrPalm,Rump_ThrPalm,Throat_ThrPalm,WingTip_ThrPalm
627.28,10.9254,20.3256666667,18.2352,21.1371134641,19.9277333333,10.6996666667,21.5456666667,20.4648666667,16.116,19.7423333333,9.64286666667
627.61,10.9316,20.3299333333,18.2438666667,21.1172091503,19.9298,10.7554333333,21.5308666667,20.4616,16.1280666667,19.7487333333,9.66053333333
627.94,10.9022666667,20.3001333333,18.2506,21.136235817,19.9443333333,10.7455333333,21.4652666667,20.4462666667,16.1063333333,19.7534666666,9.66733333333
628.27,10.9359333334,20.3284333333,18.2792,21.1628742484,19.9910666667,10.8126,21.46,20.4895333333,16.1408666667,19.7896,9.71833333333
628.61,10.9312666667,20.3006,18.2638,21.1462049673,19.9535,10.8315,21.4755333333,20.4616666667,16.1368,19.7886,9.72773333333
628.94,11.0382,20.4159333333,18.3446666667,21.1987024837,20.0449333333,10.9584333333,21.5666666667,20.5771333333,16.2085333334,19.864,9.83960000001
629.27,10.9667333333,20.3811666667,18.293,21.161896732,19.937,10.8497666667,21.5208,20.5127333333,16.1602666667,19.8109333333,9.82813333333
629.60,10.945,20.3504666667,18.2592,21.1183236601,19.9145666667,10.8121,21.4770666667,20.4985333333,16.1395333333,19.7441333333,9.83693333332
629.94,10.9554,20.3878666667,18.2832,21.143955817,19.9608333333,10.7952,21.5148,20.4928666667,16.1473333333,19.7882,9.85726666666
630.27,10.9656666667,20.3488666667,18.1951333333,21.1261231372,19.9079333333,10.7998666667,21.465,20.4329333333,16.131,19.7462,9.84539999999
630.60,11.0467333333,20.4428666667,18.2692,21.2116227451,19.9864333333,10.8436,21.5469333333,20.5370666667,16.2053333333,19.8702666667,9.89533333333
630.93,11.1020666667,20.4777333333,18.2976,21.2148956863,19.9728666667,10.8837,21.6057333333,20.5504666667,16.2533333333,19.8688,9.92966666666
631.26,11.1243333333,20.4733,18.2766,21.2351189542,19.9559,10.8653,21.6014666667,20.5452666667,16.2871333333,19.8568,9.91906666667
631.60,11.2022,20.5852,18.3168,21.3091892811,20.0318666667,10.8772,21.6178,20.6016666667,16.3081333333,19.9066666667,9.95153333335
631.93,11.1338,20.5699,18.2493333333,21.2763500654,19.9601666667,10.7663333333,21.5990666667,20.5396666667,16.2675333333,19.8390666667,9.87586666667
632.26,11.1776666667,20.6272666667,18.351,21.330225098,20.0146666667,10.8548666667,21.6358,20.5897333333,16.3152,19.8973333333,9.91693333333
632.59,11.1503333333,20.6213666667,18.3912666667,21.3089210457,19.9608333333,10.8475,21.6315333333,20.5568,16.29,19.9299333333,9.87866666667
632.92,11.1163333333,20.6264,18.3726,21.3107145098,19.9145333333,10.8044333333,21.5754,20.5442,16.2924666667,19.8811333333,9.86966666667
633.26,11.0809333333,20.6739,18.4094666667,21.3195840523,19.9551333333,10.8261333333,21.5915333333,20.5164,16.2789333333,19.9070666667,9.87999999999
633.59,11.0169333333,20.5886333333,18.3796666667,21.2925921569,19.8924333333,10.7876666667,21.5046666667,20.4307333333,16.2201333333,19.8232,9.83820000001
633.92,11.0146,20.5804666667,18.3702,21.2811532026,19.8967666667,10.7869333333,21.5086666667,20.406,16.2041333333,19.8088666667,9.82986666666
634.25,11.0277333334,20.6435666667,18.4064,21.3137806536,19.9399,10.8796,21.5159333333,20.4270666667,16.2551333333,19.8738,9.90353333334
634.58,10.9945333333,20.6132333333,18.3856666667,21.2761615686,19.9295666667,10.8979666667,21.5317333333,20.4092666667,16.2714,19.8757333333,9.9388
634.91,11.0240666667,20.5811,18.3933333333,21.2807252288,19.8878,10.9570333333,21.5208,20.3431333333,16.2968,19.8991333333,9.98546666668
635.25,11.0194666667,20.5329333333,18.3495333333,21.2605701961,19.8398666667,10.9378333333,21.5202666667,20.293,16.2936,19.8577333333,9.96046666667
635.58,11.1146,20.5799333333,18.3781333333,21.3306094118,19.8771666667,11.0150333333,21.5382,20.3596666667,16.3576,19.8878,10.0242666667
635.91,11.1683333333,20.5754,18.3928666667,21.3342831373,19.8826,11.0448,21.5676,20.3554666667,16.3308,19.888,10.0208666667
636.24,11.1910666667,20.5396666667,18.3800666667,21.3708216994,19.8647333333,11.0118333333,21.6070666667,20.4298,16.3390666667,19.8863333333,10.0208666667
636.57,11.2436,20.5823666667,18.3875333333,21.3615495425,19.8504,11.0302666667,21.6744,20.4338666667,16.3638666667,19.9296,10.0834
636.90,11.2704,20.6361333333,18.4333333333,21.4671542484,19.8837,11.0871333333,21.6627333333,20.4753333333,16.4048666667,20.0121333333,10.1214666667
637.23,11.2063333333,20.5160666667,18.3782666667,21.3430980392,19.7234,10.9498666667,21.6258666667,20.3464,16.2944,19.8710666667,10.0359333333
637.56,11.2118666667,20.5241,18.4034666667,21.3879529412,19.7209,10.9701333333,21.5870666667,20.3674,16.2999333333,19.8903333333,10.0082666667
637.90,11.2392,20.5686666667,18.4776666667,21.4368394771,19.7713333333,10.9886666667,21.6089333333,20.4388666667,16.3344,19.9329333333,10.0584
638.23,11.2535333333,20.6170666667,18.4455333333,21.4622886275,19.8212666667,11.0161666667,21.5773333333,20.4908,16.3446666667,19.9518666667,10.1079333333
638.56,11.2209333333,20.6398,18.445,21.473684183,19.8698333333,11.0276,21.6286,20.4839333333,16.3730666667,20.0084666667,10.1334666667
638.89,11.1943333334,20.6468,18.4343333333,21.5218164706,19.8394,11.0439666667,21.6176666666,20.4874666667,16.3700666667,20.0745333333,10.1453333333
639.22,11.1757333333,20.5962666667,18.3972666666,21.445612549,19.7986666667,11.0396333333,21.544,20.4136,16.3546666667,20.0606666667,10.1668
639.55,11.2476,20.6957333333,18.5314666667,21.586671634,19.9024,11.1742,21.6376,20.4792666667,16.4686666667,20.1479333333,10.2372666667
639.88,11.2061333334,20.6342666667,18.4544666667,21.5501639216,19.8487666667,11.1327333333,21.5962666667,20.4400666667,16.4614,20.0936666666,10.2197333333
640.21,11.2157333333,20.6809,18.52,21.6543592157,19.9265,11.1681,21.669,20.486,16.5233333333,20.1784666667,10.2288666667
640.54,11.2976666667,20.7503666667,18.5932,21.7249137255,19.9336,11.2042333333,21.7436666667,20.5285333333,16.554,20.2295333333,10.3302666667
640.87,11.2345333333,20.6538666667,18.5136,21.6273994771,19.8453,11.1051,21.6474666667,20.4619333333,16.4439333333,20.1413333333,10.242
641.20,11.229,20.5652333333,18.5528666667,21.6099145098,19.7687666667,11.0891,21.6765333333,20.4213333333,16.4512666667,20.081,10.1852
641.53,11.2541333333,20.5251666667,18.5324,21.5701647059,19.705,11.0378,21.6350666667,20.4112,16.4480666667,20.0231333333,10.2012666667
641.87,11.2228666667,20.465,18.4726666667,21.4270677124,19.6624,10.9774333333,21.5898,20.3395333333,16.4429333333,19.915,10.1334
