wavelength,Back_SpoInaf,Belly_SpoInaf,Breast_SpoInaf,Crissum_SpoInaf,Crown_SpoInaf,DorTail_SpoInaf,Patch10_SpoInaf,Rump_SpoInaf,Throat_SpoInaf,WingTip_SpoInaf
822.97,30.7804583333,53.3668333334,45.6418333333,54.526,30.4707380952,24.8006666667,30.6769166667,28.2935,38.5726666667,28.7971666666
823.27,31.0701083333,53.5106666667,45.8358333334,54.8703333334,30.7618809524,25.1273333333,30.9671666667,28.585,38.8836666667,29.3815
823.58,30.885225,53.4788333333,45.6335,54.6606666667,30.7843095238,25.0333333334,31.0836666667,28.5176666667,38.6041666667,29.544
823.88,30.78305,53.4173333333,45.641,54.4715,30.6537380952,24.6741666666,30.85775,28.3285,38.4033333334,29.436
824.18,30.9248166667,53.5781666667,45.3503333333,54.822,30.8940952381,24.8055,30.9446666667,28.473,38.5636666667,29.8125
824.49,31.1252166666,54.3335,45.9053333334,55.5413333333,31.2873571429,25.1298333333,31.4436666667,28.8453333333,39.0431666666,30.0605
824.79,31.4481833334,54.6486666667,46.2298333333,55.8846666666,31.4776904761,25.2408333333,31.588,28.9023333333,39.3033333333,30.566
825.09,31.9379666666,55.0318333333,46.4195,56.4141666667,32.0627142857,25.7771666667,32.2473333333,29.2805,39.3183333333,31.2641666666
825.39,32.2405666666,55.6205,46.0981666667,56.5403333333,32.3910714285,26.0128333333,32.5948333333,29.4315,39.5763333334,31.6241666667
825.70,32.7895583334,55.6266666666,46.2648333333,56.6646666666,32.574,25.7956666667,32.3971666667,29.5401666667,39.5418333333,32.082
826.00,33.4294416667,55.7905,45.7401666666,56.7875,32.8528571428,26.3645,32.9254166666,29.7081666667,40.1711666667,32.538
826.30,33.2517916667,55.6653333334,45.5705,56.5718333333,32.6521190477,26.267,33.0243333334,29.4911666667,40.2243333334,32.1691666666
826.61,33.3223333334,55.6145,45.1341666667,56.3111666667,32.7554047619,26.2526666667,33.302,29.5591666667,39.7901666667,31.7945
826.91,33.9086333333,55.7393333333,45.623,56.2385,33.2692619048,26.419,33.9830833333,30.1308333333,39.8838333333,32.0438333334
827.21,34.1042916667,55.8668333334,45.4765,56.2971666666,33.4292142857,26.7421666667,34.0889166667,30.1531666667,40.3126666667,32.0951666667
