wavelength,Back_TanArgm,Belly_TanArgm,Breast_TanArgm,Crissum_TanArgm,Crown_TanArgm,DorTail_TanArgm,Patch10_TanArgm,Patch11_TanArgm,Rump_TanArgm,Throat_TanArgm,WingTip_TanArgm
789.00,63.5661666666,10.4539166666,7.05633333333,10.5843333333,6.36733333333,10.1211666667,7.294,46.8995,55.417,27.2391666667,10.8101666667
789.31,64.7776666667,11.4716666667,7.90283333333,11.43,7.34116666667,11.0711666667,8.29766666667,47.7643333333,56.0616666666,28.0606666667,11.5975
789.62,65.5521666667,11.6219166666,8.18816666666,11.8458333333,7.643,11.6765,8.87833333333,48.2436666667,56.7951666667,28.8881666667,12.1851666667
789.92,65.8558333334,11.3274166666,7.39783333333,11.3646666667,7.435,11.1651666667,8.44566666666,48.3158333333,57.1233333334,28.8546666667,11.7765
790.23,65.5061666667,11.2154166667,7.08983333333,11.298,7.4345,10.7751666667,8.42916666667,48.5718333333,57.2811666667,28.7043333334,11.604
790.54,65.6725,11.19825,6.88133333334,11.303,7.67933333334,10.2433333333,8.1765,48.6003333334,57.4438333333,28.8593333334,11.2768333333
790.85,66.1938333333,10.8724166667,6.4965,11.4666666666,7.60383333334,9.46766666667,7.874,48.5955,57.6716666667,28.6063333334,10.8455
791.16,65.3963333334,10.163,5.468,10.6048333334,7.00083333334,9.00316666669,7.33216666666,48.0805,56.5725,27.451,9.79016666665
791.47,64.799,9.42258333335,4.47083333333,9.66316666666,6.5645,8.26266666666,6.63533333333,47.51,56.1826666667,26.2876666666,8.61633333331
791.78,65.0505,9.28575,4.19916666667,9.264,6.08933333333,8.00866666667,6.06083333333,47.1571666666,56.1181666666,25.4833333333,8.18183333333
792.08,64.3191666667,8.00316666666,3.55066666667,8.3775,4.915,7.13016666666,4.7535,46.8016666667,55.6485,24.3103333334,7.2035
792.39,64.262,7.2065,2.90066666666,7.51433333333,3.87733333334,6.297,3.83216666667,46.9641666667,55.8611666667,23.3691666667,6.417
792.70,63.0986666667,6.54916666667,2.4245,6.12983333333,2.79066666666,5.04716666667,2.72933333334,45.8523333334,55.3523333334,22.583,5.3065
793.01,62.0126666667,6.286,2.2365,5.90816666667,2.7955,4.60866666667,2.56883333333,45.21,54.2006666667,22.0306666666,4.97116666666
793.32,61.3405,6.83725,3.17183333333,6.23866666667,3.18666666667,5.042,3.00716666667,45.0778333333,53.9346666667,22.1123333334,5.1465
793.62,61.3185,6.48141666666,3.25916666667,6.53333333333,3.3185,5.1555,3.1555,45.3631666667,53.6298333333,21.9998333333,5.37766666667
793.93,61.4003333333,6.52391666667,3.39816666667,6.8255,3.4275,6.13416666667,3.64816666667,45.9251666667,54.1041666667,22.1536666667,6.11966666667
794.24,60.635,6.62883333334,3.64216666667,6.38116666667,2.92816666667,6.42483333333,3.5985,45.8333333333,53.2051666667,22.159,6.41033333333
794.55,60.891,7.37808333334,4.727,6.954,3.49116666666,7.14083333333,4.842,46.2643333333,53.7931666666,22.8736666667,7.5145
794.86,60.9633333334,6.7825,4.6455,6.4325,2.75866666667,6.71816666667,4.74583333333,46.1263333334,54.0023333334,23.113,7.61883333333
795.16,61.1961666667,6.85233333334,5.15866666667,6.42,3.17483333333,6.83116666667,5.04533333333,46.542,54.195,23.4266666667,8.0215
795.47,62.0705,7.188,5.3695,6.52933333333,3.46516666667,6.80133333334,5.2835,47.1935,55.2691666667,23.5251666667,8.19016666667
795.78,62.6888333333,7.6275,6.04516666667,7.01466666666,4.26283333333,7.28533333334,6.04516666667,48.118,55.7028333334,24.1375,8.88216666669
796.09,63.6131666666,7.91641666667,6.17766666666,8.086,4.9195,8.48166666667,6.7005,48.8971666666,55.923,24.7808333333,9.83866666665
796.40,64.471,7.91258333335,6.37283333334,8.29766666667,5.06116666666,9.09616666667,6.65816666667,49.7146666667,56.7436666667,25.107,10.4075
796.70,64.53,7.46416666666,5.99716666667,8.14833333333,4.62983333334,8.9175,6.33916666667,49.7578333333,56.5241666667,24.9571666667,10.4131666666
797.01,65.1618333334,8.19166666665,6.94216666667,8.81583333334,5.52233333334,9.9945,7.12683333333,50.1563333333,57.013,25.4115,10.9738333333
797.32,64.8845,8.26208333335,6.97183333333,8.754,4.99,9.7235,6.88633333333,49.9001666667,56.644,25.0356666667,10.2935
797.63,65.9143333333,8.27533333335,7.27733333333,8.854,5.28083333333,10.0838333333,6.8285,50.3615,57.3206666666,24.8843333333,10.1565
797.93,66.0368333333,8.17958333335,7.484,8.88983333333,5.52116666666,9.98816666669,6.38533333333,50.0878333334,57.4546666666,24.9853333333,10.1055
798.24,66.0873333334,8.586,7.6055,9.18016666666,6.00116666667,10.1605,6.09016666667,50.0893333333,57.0855,25.1486666667,10.1306666667
