wavelength,Back_ThrGlaf,Belly_ThrGlaf,Breast_ThrGlaf,Crissum_ThrGlaf,Crown_ThrGlaf,DorTail_ThrGlaf,Patch10_ThrGlaf,Patch11_ThrGlaf,Rump_ThrGlaf,Throat_ThrGlaf,WingTip_ThrGlaf
330.61,15.369,25.45775,23.371,20.7414884259,11.0581666667,14.4176666666,23.133,17.5966666667,18.6203333334,16.1548333334,10.8383333334
330.98,15.9601666667,25.7596666666,23.9941666667,21.106443287,11.8151666667,14.9756666666,23.616,17.7225,19.0425,16.267,11.4298333334
331.34,16.2613333333,25.9593333334,24.0156666666,20.994162037,11.6631666667,15.174,23.7738333333,17.7753333333,18.9906666667,16.2256666666,11.4639166667
331.71,16.141,25.9600833333,23.9626666667,21.0825416667,11.284,15.181,23.6823333333,17.5358333333,18.8675,16.3303333333,11.2245
332.08,15.4171666666,25.3436666667,23.3583333334,20.2078414352,10.4541666666,14.1258333333,22.9975,16.8888333333,18.2421666667,15.4521666666,10.4401666667
332.44,15.0193333334,25.09975,23.0836666667,19.9356331019,10.0771666667,13.5371666667,22.67,16.4391666666,17.9901666666,15.0471666666,10.3390833334
332.81,13.818,24.1233333334,21.9871666666,18.8562916667,8.7785,12.4283333334,21.8845,15.085,16.9818333334,14.0438333334,9.14783333334
333.18,14.0688333333,24.7773333334,22.5436666666,19.507488426,9.1905,12.9486666667,22.2873333333,15.8836666667,17.429,14.0081666667,9.71341666665
333.54,14.2723333333,25.2126666667,22.526,19.555667824,9.2445,12.949,22.3795,16.1346666667,17.405,13.9398333333,10.3019166667
333.91,14.1411666667,25.1719166666,22.2765,19.4425393519,9.239,12.7451666667,22.101,15.9266666667,17.3093333333,14.154,10.1805
334.28,13.9876666667,25.3444166667,22.235,19.5979409722,9.14,12.7693333333,22.133,15.742,17.3426666667,14.3195,10.04575
334.64,14.2026666666,25.4515833334,22.3781666666,19.8504108796,9.2115,12.9011666667,22.3211666667,15.7128333333,17.3175,14.7083333334,10.24475
335.01,13.5845,25.047,22.018,19.4543217593,8.471,12.034,21.7365,15.3038333333,16.7478333333,14.4225,9.44625
335.38,13.0836666667,24.9255,21.8891666666,19.3151909722,8.35816666667,11.7485,21.4233333333,15.1078333334,16.7163333333,14.183,8.88608333333
335.74,12.9861666666,24.67675,21.8735,19.0689571759,8.36416666666,11.5336666666,21.2948333333,15.005,16.4636666666,13.9155,8.96108333334
336.11,13.4678333333,25.3028333334,22.301,19.5892986111,8.8755,12.1108333334,21.8221666666,15.3518333334,16.7151666666,14.4795,9.336
336.47,13.4418333334,25.2504166666,22.2878333334,19.4570173611,9.025,12.1066666666,21.9956666666,15.5043333333,16.5535,14.6103333334,9.2155
336.84,13.5958333334,25.3955,22.2396666667,19.4361331019,9.148,12.1368333333,21.9995,15.4651666666,16.6256666666,14.8031666667,9.45575
337.21,13.9121666667,25.3624166666,22.2048333334,19.4157199074,8.93633333333,12.0795,21.88,15.2051666667,16.7596666667,14.7703333333,9.33091666665
337.57,13.7178333334,25.2065833334,22.3406666667,19.51378125,9.23683333333,12.2603333333,21.9103333333,15.0258333333,16.9476666667,15.0718333333,9.20841666665
337.94,13.9613333333,25.3345833334,22.9523333333,19.7174236111,9.397,12.7315,22.2315,15.3911666667,17.0728333333,15.1736666666,9.58883333335
338.31,14.0553333333,25.2100833333,22.8313333333,19.5346377315,9.27016666667,12.4373333334,22.1501666667,15.162,16.8085,14.907,9.44308333335
338.67,13.7935,24.9661666667,22.5653333333,19.166613426,9.043,12.3631666666,21.9713333333,15.0038333334,16.5818333333,14.608,9.04883333335
339.04,14.1196666666,25.2860833333,22.8936666666,19.53440625,9.26183333333,12.7675,22.2653333333,15.1688333333,16.9303333333,14.6528333334,9.42741666665
339.40,14.5736666666,25.4760833333,23.0176666667,19.8305821759,9.48516666667,12.9901666667,22.6911666666,15.5261666666,17.115,15.0831666667,9.78675
339.77,14.555,25.8626666667,23.018,19.8019826389,9.37266666667,12.9725,22.726,15.5971666667,17.2345,15.0345,9.67316666665
340.14,14.0171666666,25.4150833333,23.0035,19.3818854167,8.926,12.7443333333,22.3151666667,15.2846666667,16.858,14.5963333333,9.21266666665
340.50,14.3368333334,25.7164166666,23.3646666667,19.6352858796,9.017,12.8878333333,22.5158333333,15.3258333333,17.1046666667,14.6068333334,9.30116666665
340.87,14.4011666667,26.0198333334,23.4583333334,19.74878125,9.1865,13.0286666667,22.4465,15.5095,17.2531666666,14.4441666667,9.16208333335
341.23,13.9905,26.0016666667,23.2906666667,19.4919675926,9.19866666666,12.58,22.3556666667,15.4593333333,16.9763333333,14.2198333333,8.76075
341.60,13.8588333333,25.9066666667,23.2665,19.4732800926,8.73216666666,12.2741666667,22.1281666667,15.5233333333,16.6613333333,13.7791666666,8.44533333334
341.96,14.0011666667,26.3615,23.3565,19.7709733797,8.8815,12.2578333333,22.2081666667,15.6868333334,16.93,14.1435,8.40175
342.33,13.4963333333,26.2171666667,23.1953333333,19.6397581018,8.71733333333,11.7466666667,21.733,15.5278333333,16.7136666667,14.1075,8.00958333333
342.70,13.2515,26.0446666666,23.2258333333,19.6351585648,8.41266666667,11.4798333333,21.5156666666,15.2738333333,16.4156666666,13.8916666666,7.73916666666
343.06,13.204,26.3368333334,23.4101666666,19.7150995371,8.40666666667,11.4855,21.6661666667,15.3523333333,16.424,14.0885,7.76475
343.43,13.2231666667,26.5431666667,23.7423333333,19.8675520833,8.42033333333,11.6156666667,21.8418333333,15.5698333333,16.5326666667,14.2203333334,7.84933333334
343.79,13.0648333334,26.2665,23.6603333333,19.6338564814,8.27733333334,11.3763333334,21.552,15.4613333333,16.247,14.085,7.65266666666
344.16,13.4826666667,26.5728333333,23.8008333333,20.1865231482,8.68033333333,11.4908333333,21.8471666667,15.8241666667,16.7098333333,14.541,8.00758333333
344.52,13.3571666667,26.57425,23.9291666666,20.1479236111,8.69033333334,11.584,21.9243333333,15.9336666667,16.7991666667,14.7376666667,8.06866666667
344.89,13.3158333333,26.5360833333,23.9773333333,20.1379212963,8.48666666667,11.5403333333,22.0813333334,16.0393333334,16.755,14.8958333333,8.21241666666
345.25,13.3901666667,26.4936666667,24.0583333333,20.0754085649,8.496,11.7036666667,22.0511666666,16.0206666667,16.7446666667,14.9988333333,8.27166666667
345.62,13.094,26.26725,23.8483333333,19.7981597222,8.32433333333,11.5705,21.849,15.8141666666,16.6986666667,14.9801666666,8.0
345.99,12.7138333333,25.7584166666,23.5998333333,19.3647685185,7.99566666667,11.1158333333,21.601,15.4376666666,16.4326666667,14.5463333334,7.67158333333
346.35,13.0156666667,25.9711666666,23.8925,19.6294097222,8.25516666667,11.5568333333,22.0133333333,15.6511666666,16.8366666667,14.5995,8.10516666666
346.72,12.9281666667,25.9235833334,23.7583333334,19.6652986111,8.1765,11.5158333333,21.8621666666,15.6266666667,16.9131666666,14.5241666667,7.9905
347.08,13.1016666667,25.9340833333,23.7698333334,19.6820717593,8.34683333333,11.6243333334,22.0185,15.7865,17.08,14.561,8.0325
347.45,12.835,25.5643333333,23.5025,19.4314918981,8.194,11.3058333333,21.7395,15.5018333333,16.77,14.1978333334,7.83858333334
