wavelength,Back_ConSitm,Belly_ConSitm,Breast_ConSitm,Crissum_ConSitm,Crown_ConSitm,DorTail_ConSitm,Rump_ConSitm,Throat_ConSitm,WingTip_ConSitm
452.10,12.88,10.19,9.7688,7.89200000001,4.35766666667,6.56793333333,18.0873333333,5.70433333333,6.3176
452.46,12.8591333333,10.2163333333,9.77526666667,7.90560000001,4.35853333333,6.57233333333,18.0587333333,5.71233333333,6.31406666667
452.81,12.8288,10.2114666667,9.77586666667,7.90913333332,4.35286666667,6.5658,18.0058666667,5.69486666667,6.3087
453.17,12.8168,10.2412666667,9.78913333333,7.93353333334,4.35493333333,6.5678,17.9950666667,5.70333333333,6.3078
453.52,12.8094666667,10.2652,9.79553333333,7.96099999999,4.36993333333,6.57933333333,17.9746,5.72013333333,6.32613333333
453.87,12.7688666667,10.2560666667,9.7942,7.9538,4.35313333333,6.5556,17.9263333333,5.70586666667,6.29226666667
454.23,12.784,10.3004,9.82566666667,7.971,4.3676,6.58713333333,17.9222,5.722,6.3222
454.58,12.7674,10.3378,9.8414,7.9956,4.3936,6.59413333333,17.9100666667,5.73773333333,6.33686666667
454.93,12.7542666667,10.3563333333,9.85073333333,8.00726666667,4.38333333333,6.5966,17.8828666667,5.73053333333,6.32826666667
455.29,12.7267333333,10.3798666667,9.86753333333,8.01359999999,4.37413333333,6.58513333333,17.8527333333,5.72126666667,6.3166
455.64,12.6977333333,10.4027333333,9.89760000001,8.04426666666,4.37833333333,6.59313333333,17.8030666667,5.72186666667,6.32243333333
456.00,12.6648,10.4349333333,9.90193333333,8.07773333334,4.36706666667,6.60113333333,17.7754,5.72053333333,6.31703333333
456.35,12.5972,10.4121333333,9.89213333333,8.06793333332,4.3298,6.5712,17.711,5.6828,6.28816666667
456.70,12.5718666667,10.4359333333,9.91059999999,8.08773333333,4.3216,6.57646666667,17.681,5.67166666667,6.28236666667
457.06,12.5648666667,10.4695333333,9.93633333333,8.09366666666,4.3336,6.58273333333,17.6350666667,5.68133333333,6.2893
457.41,12.5282,10.4812666667,9.96166666665,8.08660000001,4.31953333333,6.5742,17.5766666667,5.66393333334,6.26983333333
457.76,12.4992,10.506,9.97473333335,8.10353333333,4.3162,6.56886666667,17.5330666667,5.66353333334,6.26576666667
458.12,12.4507333333,10.491,9.97993333333,8.11166666667,4.2804,6.5404,17.4816666667,5.63853333333,6.22593333333
458.47,12.43,10.5032666667,9.9916,8.12086666667,4.2682,6.5352,17.4286,5.62273333333,6.22173333333
458.82,12.4168,10.5306,10.0102666667,8.14513333334,4.2814,6.54066666667,17.4066,5.63226666667,6.2353
459.18,12.4050666667,10.5448666667,10.0442,8.16486666667,4.29153333333,6.55206666667,17.3831333333,5.63893333333,6.24166666667
459.53,12.4034,10.5759333333,10.0758,8.18506666666,4.3102,6.56453333334,17.3900666667,5.64453333333,6.25336666667
459.88,12.4205333333,10.6001333333,10.1102666667,8.21006666667,4.34386666666,6.58553333334,17.3764,5.66113333333,6.27966666667
460.24,12.4319333333,10.646,10.1623333333,8.24986666667,4.3742,6.61,17.3652,5.68473333333,6.29856666667
460.59,12.4259333333,10.6806666667,10.191,8.26893333334,4.38313333333,6.61186666667,17.3434,5.70593333333,6.32256666667
