wavelength,Back_LoxNocf,Belly_LoxNocf,Breast_LoxNocf,Crissum_LoxNocf,Crown_LoxNocf,DorTail_LoxNocf,Rump_LoxNocf,Throat_LoxNocf,WingTip_LoxNocf
825.70,19.3388666667,37.4806,31.7920666667,44.7902666667,20.9781333333,26.3612,21.0328,24.462,27.6538666667
826.00,19.2298666667,37.3084,31.8568666667,44.8297333333,20.8642666667,26.4122666667,20.9631333333,24.5591333333,27.7074
826.30,19.2106,37.1683333333,31.6406,44.6623333333,20.7205333333,26.5454,20.9202666667,24.4603333333,27.425
826.61,19.484,37.2484,31.7352666667,44.7129333333,20.9555333333,26.5446666667,21.0605333333,24.5049333333,27.4643333333
826.91,19.4797333333,37.2385333333,31.5978,44.5283333333,20.9636,26.4246666667,21.1027333333,24.4180666667,27.3403333333
827.21,19.6252666666,37.2312666666,31.5996,44.5146,20.9891333333,26.4780666666,21.1365333333,24.4637333333,27.3655333333
827.51,19.6422,37.196,31.5142666667,44.5365333334,20.9873333333,26.3433333333,21.2094,24.5292,27.2467333333
827.82,19.9028,37.5150666667,31.78,44.7830666667,21.3511333333,26.6566,21.492,24.8239333333,27.5266
828.12,19.7923333333,37.4207333333,31.6794,44.8401333333,21.33,26.5586,21.5596,24.8239333333,27.4948666667
828.42,19.6156,37.3035333333,31.4458666667,44.5926,21.2133333333,26.4774666667,21.3654666667,24.6701333333,27.2146
828.72,19.8880666666,37.6710666667,31.6884,44.6019333333,21.5672,26.6667333333,21.6384666667,24.7512666667,27.3228666667
829.02,20.3388666667,38.0003333333,31.9141333333,44.4456,22.1607333334,26.9619333333,21.9627333333,25.0326666667,27.5088
829.33,20.243,37.8391333333,31.6840666667,43.9498666667,22.1498,26.8285333333,21.8222666667,24.6492666667,27.2629333333
829.63,20.2103333333,37.9126666667,31.9348666667,43.9644666667,22.141,26.7656,21.8152,24.4224,27.4423333333
829.93,20.1184,37.8280666667,31.6713333333,43.6885333333,22.0537333333,26.8216,21.7759333333,24.5946666667,27.4407333334
830.23,19.4304666667,36.9341333333,30.7430666667,42.8676666667,21.3174,26.4388,20.9758666667,23.6998666667,26.6766
830.54,18.8844666667,36.8775333333,30.3282666667,42.5886666666,20.9821333333,26.4212,20.8113333333,23.6668,26.3838666667
830.84,18.8632,36.8542666667,30.3422,42.3234,21.3024,26.4017333333,20.8885333333,23.5432666667,26.5343333333
831.14,18.5264666667,36.2530666667,29.9918,41.8406666667,21.1286,25.8176,20.7066666666,23.1224,26.36
831.44,19.0084666667,36.4844666667,30.3482666667,42.3150666667,21.5488666667,25.9003333333,20.6804666667,23.5692,26.7418
831.74,19.8290666667,36.9853333333,31.4529333333,43.5378,22.4501333333,26.6666666667,21.3468666667,24.1906666667,27.9772666667
832.04,19.8142666667,37.1554,31.7644,44.1299333333,22.3509333333,27.2042666667,21.3781333334,24.3206,28.2698
832.35,19.2905333333,36.9541333333,31.3584,44.0148666667,21.7386,26.8057333333,20.9874666667,23.7969333333,27.8905333334
832.65,19.5074,37.4854666667,31.4668666667,44.3638,22.0263333333,26.9949333333,21.3696,24.1218666666,28.261
832.95,19.4194666667,37.5413333333,31.3865333333,44.345,22.0072,27.0737333333,21.6243333333,24.5062666667,28.2466666667
833.25,19.0844666666,37.365,31.2022,44.2662666667,21.7272666667,26.8898,21.2579333333,24.1623333334,28.2746
833.55,19.2381333333,37.6620666667,31.6862666667,44.5901333333,21.7552666667,26.9542,21.2997333333,24.1644666667,28.575
833.85,19.0717333333,37.4706666667,31.5864666667,44.5285333334,21.5826666667,26.641,21.0561333333,23.6914,28.5052
834.16,19.0952666667,37.5352666667,31.5635333333,44.6072,21.4838,26.6883333333,21.1942666667,23.6988666667,28.4112
834.46,19.1928,37.7583333333,31.7226666667,44.7001333333,21.4310666667,26.7841333333,21.3721333333,23.7865333333,28.4974
834.76,18.6788,37.2746,31.3456,44.1520666667,20.8922,26.5876666667,20.9222666667,23.2788666666,28.037
835.06,18.2863333333,36.9021333333,30.8939333333,43.4824666667,20.1373333333,26.0982,20.2666,22.7450666666,27.1922666667
835.36,18.4360666667,36.8512666667,31.0355333333,43.6394,20.1552666667,26.0671333333,20.3480666667,22.8050666667,27.2662
