wavelength,Back_PorCaem,Belly_PorCaem,Breast_PorCaem,Crissum_PorCaem,Crown_PorCaem,DorTail_PorCaem,Rump_PorCaem,Throat_PorCaem,WingTip_PorCaem
625.61,9.28473333334,9.3226,8.63646666667,9.5204,8.37206666667,7.47646666667,8.988,9.73380000001,8.20746666667
625.95,9.37233333333,9.38693333333,8.70373333333,9.58459999999,8.42266666667,7.53646666667,9.03800000001,9.79826666667,8.28826666667
626.28,9.37606666667,9.39033333333,8.70726666667,9.56926666667,8.40786666667,7.54213333333,9.02853333334,9.81306666666,8.3064
626.61,9.36286666666,9.37693333333,8.6798,9.56626666667,8.40060000001,7.51373333333,9.03193333333,9.78286666667,8.33106666667
626.94,9.31586666667,9.29113333333,8.59986666667,9.5274,8.33133333333,7.4624,8.97320000001,9.71506666667,8.2668
627.28,9.2936,9.23346666667,8.54773333333,9.4928,8.28406666667,7.43446666667,8.9318,9.67113333333,8.22873333333
627.61,9.23906666666,9.2058,8.49533333333,9.4418,8.2328,7.42013333333,8.90566666667,9.64780000001,8.2096
627.94,9.22506666667,9.20006666666,8.46073333333,9.4176,8.21106666667,7.4028,8.881,9.62933333333,8.1952
628.27,9.2288,9.20253333334,8.45146666667,9.41079999999,8.20873333333,7.41773333333,8.88113333333,9.63520000001,8.20906666667
628.61,9.2628,9.2428,8.47186666667,9.41159999999,8.22013333333,7.42573333333,8.90426666667,9.65700000001,8.25446666667
628.94,9.29553333333,9.26053333333,8.47746666667,9.422,8.21133333333,7.4248,8.92686666667,9.66146666667,8.3066
629.27,9.28666666666,9.25066666667,8.479,9.43553333332,8.21353333333,7.4352,8.91966666667,9.66100000001,8.30946666667
629.60,9.26620000001,9.23486666667,8.44846666667,9.42693333333,8.1972,7.4114,8.90926666667,9.6298,8.30913333333
629.94,9.29353333333,9.2266,8.4642,9.45966666667,8.19946666667,7.42846666667,8.9296,9.64426666667,8.32493333333
630.27,9.32259999999,9.24153333333,8.50593333333,9.48406666667,8.23166666667,7.48013333333,8.935,9.68039999999,8.32306666667
630.60,9.35066666666,9.29086666667,8.58686666667,9.52493333333,8.28013333334,7.53046666667,8.97413333333,9.74133333333,8.38033333333
630.93,9.42000000001,9.37553333333,8.66733333333,9.59506666667,8.3582,7.60813333333,9.04186666667,9.82093333334,8.48246666667
631.26,9.4296,9.37613333333,8.6878,9.61266666667,8.35246666667,7.5802,9.05706666666,9.82606666667,8.4934
631.60,9.46473333333,9.38026666667,8.71733333333,9.65320000001,8.38393333333,7.6192,9.08613333334,9.86873333333,8.54506666667
631.93,9.4796,9.3812,8.71473333333,9.71139999999,8.40066666667,7.6504,9.11766666667,9.89500000001,8.58146666667
632.26,9.44493333333,9.33713333333,8.67393333333,9.68646666667,8.37646666667,7.63933333333,9.09746666667,9.85693333334,8.56626666667
632.59,9.44520000001,9.3428,8.6754,9.69493333333,8.42246666666,7.67953333333,9.10680000001,9.87306666666,8.58973333333
632.92,9.4108,9.29713333333,8.62533333333,9.63693333333,8.3538,7.63826666667,9.10146666667,9.84013333333,8.54146666667
