wavelength,Back_ThrOrnm,Belly_ThrOrnm,Breast_ThrOrnm,Crissum_ThrOrnm,Crown_ThrOrnm,DorTail_ThrOrnm,Patch10_ThrOrnm,Patch11_ThrOrnm,Rump_ThrOrnm,Throat_ThrOrnm,WingTip_ThrOrnm
625.61,10.5760666667,26.6018,17.7702,22.973,15.7867333333,10.9222,14.7202666667,29.2778,15.9310666667,20.3783333333,10.0912666667
625.95,10.506,26.5452,17.7208666667,22.9311333333,15.7285333334,10.9089333333,14.6529333333,29.213,15.9023333333,20.3787333333,10.0439333333
626.28,10.4374,26.5186,17.6508,22.8813333333,15.6547333333,10.8058666667,14.623,29.1894666667,15.8483333333,20.3604666666,9.96333333334
626.61,10.3733333333,26.4768666667,17.5876666667,22.8309333333,15.5969333333,10.7988,14.5953333333,29.1279333333,15.7904666667,20.3271333333,9.93233333333
626.94,10.4535333333,26.5717333333,17.6567333333,22.8960666667,15.6265333333,10.8464666667,14.6851333333,29.1758,15.8484,20.409,9.9966
627.28,10.4716666667,26.5212,17.6378666667,22.8985333333,15.6196,10.8240666667,14.6608,29.0979333333,15.8874,20.3794,10.044
627.61,10.5133333333,26.5304,17.6338,22.9442,15.6556,10.8368666667,14.7079333333,29.0872,15.9027333333,20.4114,10.0819333333
627.94,10.5156,26.4940666667,17.6004,22.9128666667,15.6113333333,10.8415333333,14.6894,29.0953333333,15.8761333333,20.3789333333,10.0724
628.27,10.6196,26.5562,17.6561333333,23.0162666667,15.6614666667,10.954,14.757,29.1133333333,15.9122,20.4675333333,10.1142666667
628.61,10.5249333333,26.4584,17.5698666667,22.9760666667,15.5970666667,10.8656666667,14.6645333333,29.0430666667,15.8476666667,20.4112,10.045
628.94,10.6753333333,26.564,17.7128666667,23.1005333333,15.7225333333,10.9699333333,14.8192666667,29.1518,16.0019333334,20.5531333333,10.1683333333
629.27,10.6995333333,26.5083333333,17.7072,23.1539333333,15.7165333333,10.9988,14.8402,29.1208666667,15.98,20.5288666667,10.1905333333
629.60,10.7275333333,26.5280666666,17.7163333333,23.2072,15.7695333333,11.0211333333,14.8583333333,29.1286,15.9617333333,20.5047333333,10.2267333333
629.94,10.8048666667,26.5626666667,17.7891333333,23.2576,15.8308,11.0622666667,14.8758666667,29.0796666667,16.0173333333,20.5316666667,10.2738
630.27,10.9263333333,26.6383333333,17.8852666667,23.3938,15.9367333333,11.1222666667,14.9831333333,29.1690666667,16.1272666667,20.607,10.3524
630.60,10.9744,26.6856,17.9416,23.4376,15.9934666667,11.1466,15.0143333333,29.2508,16.1662666666,20.6322,10.4066666667
630.93,11.0104,26.7232666667,17.9865333333,23.5034666667,16.0056,11.1808,15.0428666667,29.3421333333,16.1982,20.6552,10.4197333333
631.26,11.0992666667,26.8923333334,18.0934666667,23.6519333333,16.1162666667,11.3238,15.1401333333,29.4948666667,16.3040666667,20.7591333333,10.5268666667
631.60,11.2213333333,27.009,18.2490666667,23.7847333333,16.2900666667,11.4304666667,15.232,29.5586666667,16.3908666667,20.8896,10.6766666667
631.93,11.2503333333,27.0185333334,18.2712,23.8062,16.2880666667,11.3769333333,15.2293333333,29.5689333333,16.4308,20.8865333333,10.7012
632.26,11.4220666667,27.1802,18.4652,23.9552,16.4529333333,11.5728666667,15.4104,29.7226666667,16.567,21.0232666667,10.8836666667
632.59,11.4196,27.1908,18.4737333333,23.9954,16.4544666667,11.6110666667,15.3718666667,29.7404,16.5412,20.9822,10.9022
632.92,11.3700666666,27.1484666667,18.4517333333,23.9520666667,16.4135333333,11.5850666667,15.3254666666,29.7332,16.4973333333,20.9588666667,10.8601333333
633.26,11.5119333333,27.2529333333,18.5532666667,24.0336666667,16.4734666667,11.6692,15.422,29.8129333333,16.5864666667,21.0421333333,10.9599333333
633.59,11.5761333333,27.2891333333,18.5978,24.1095333333,16.5124666667,11.7459333333,15.5204666667,29.9249333333,16.6428666667,21.1424,11.0116
633.92,11.5744,27.3203333333,18.6111333334,24.1079333333,16.5106666667,11.7394666667,15.5044,29.9349333333,16.6196,21.1360666667,11.0564
