wavelength,Back_PhrFrum,Belly_PhrFrum,Breast_PhrFrum,Crissum_PhrFrum,Crown_PhrFrum,DorTail_PhrFrum,Patch10_PhrFrum,Patch11_PhrFrum,Rump_PhrFrum,Throat_PhrFrum,WingTip_PhrFrum
767.57,13.5738583333,37.3122333333,9.4826,33.3507333333,10.2352666667,12.8142666667,11.6075333333,13.3171666667,16.8014,13.3788,16.8888666667
767.88,13.4345333333,37.2835333333,9.44473333333,33.0236925926,10.0802,12.8298,11.5324666667,12.9931333333,16.415,13.2867333333,16.6151333333
768.20,13.1989583333,36.9318333333,9.26453333333,32.9051555556,9.95009999999,12.689,11.3762666667,12.7117333333,16.3360333333,13.0164666667,16.3306666667
768.51,13.0193833333,36.6576666667,9.24106666666,32.8341777778,9.88826666667,12.4681333333,11.0851333333,12.4981666667,16.3741666667,12.9716666667,16.1914666667
768.82,12.8823666667,36.5411333333,9.01253333333,32.7889851852,9.83263333335,12.355,11.0638666667,12.4422333333,16.3975,12.9551333333,16.1266
769.13,12.387625,36.2511666667,8.55413333333,32.4854962963,9.41899999999,11.8067333333,10.675,12.2843,16.0651333333,12.683,15.785
769.44,12.8620833333,36.5217333333,9.243,32.4527851852,9.99806666665,12.2786666667,11.3408666667,12.9472,16.6196,13.1072,16.2975333333
769.76,13.368575,36.6955333333,9.79406666666,32.7251740741,10.3049666667,12.5515333333,11.9413333333,13.5181,17.2502666667,13.4287333333,16.823
770.07,13.01485,36.4607666667,9.4988,32.4355407407,9.89520000001,12.2068,11.4413333333,13.1759666667,16.8900333333,13.3217333334,16.6590666667
770.38,12.7383083334,36.1753,9.20739999999,32.0166925926,9.49473333333,11.8192666667,10.975,12.7012,16.4506,13.0598666667,16.5397333333
770.69,12.255775,35.7759,8.79486666667,31.2905333333,8.95810000001,11.2414,10.3868666667,12.4162666667,15.9209333333,12.4142666667,16.0257333333
771.00,12.188225,35.7335333333,8.78566666667,31.2234481482,8.9791,11.1980666667,10.277,12.1821333333,15.5215666667,12.2452666667,15.8883333333
771.32,12.3341833333,35.8437,8.84046666667,31.5847666667,9.17076666666,10.9892666667,10.4324,12.5477333333,15.8438333333,12.4024,16.1554
771.63,12.3884333333,36.4236,9.2074,32.0411555555,9.51596666667,10.9914,10.6531333333,13.0352333333,15.8592,12.8048,16.6433333333
771.94,12.15965,36.3925,9.0644,31.7975296296,9.26993333334,10.5288,10.2933333333,12.7724,15.3863666667,12.4728666667,16.4932
772.25,11.7896083333,36.0590666667,8.67766666667,31.5050962963,8.6688,10.0546,9.74853333333,12.3168333333,14.8524,11.8906666667,15.9956
772.56,12.6050166667,36.6360333333,9.52766666667,32.2561518519,9.17383333334,10.8504,10.5118666667,12.8301,15.7348666667,12.4984666667,16.9940666667
772.87,13.7419083333,37.6715,10.6988666667,33.6851740741,10.0876666667,11.9128,11.4678,13.6952666667,16.6734,13.7334,18.0805333333
773.18,13.79965,37.7642666667,11.0795333333,33.6976851852,10.2913,12.2448,11.5853333333,13.8345333333,16.5762,14.0018,18.3332
773.50,13.6353583333,37.7786666667,10.8122,33.6805925926,10.1419,12.1116666667,11.7821333333,13.7292,16.4264666667,13.7498,18.2064
773.81,14.4245,38.5927666667,11.7601333333,34.5512444445,10.9617,12.9966,12.7658666667,14.7243333333,17.4211,14.6943333333,18.888
774.12,15.121475,38.9528666667,12.4966,35.3516444444,11.78,14.0268,13.6523333333,15.1825,18.3425666667,15.2519333333,19.7872
774.43,15.579175,38.7653,12.8468666667,35.5170814815,12.2145,14.3849333333,14.0004666667,15.5085333333,18.8069666667,15.5152666667,20.2362
