wavelength,Back_SicLuam,Belly_SicLuam,Breast_SicLuam,Crissum_SicLuam,Crown_SicLuam,DorTail_SicLuam,Patch10_SicLuam,Rump_SicLuam,Throat_SicLuam,WingTip_SicLuam
241.54,13.0122,14.4893333333,15.2985333333,10.5102484849,14.1554,16.6987333333,13.4552666667,14.6370333333,14.393,16.6214666667
241.92,10.6972666667,12.2554,12.4019333333,8.4763,11.1424,14.4229333333,11.3299333333,12.3666,12.0270666667,13.8958
242.29,9.5348,12.0087333333,11.5653666667,8.98295151517,10.4322666667,14.3405333333,10.1367333333,11.9047666667,11.3191666667,12.7312666667
242.67,10.6896666667,12.8317333333,11.8339,9.83667575758,11.2225333334,15.5484666667,11.3740666667,12.9466666667,12.6854666667,13.4273333333
243.05,11.4552666667,13.6776,11.6076666667,10.0832606061,11.6322666667,15.4276666667,11.5929333333,12.7728333333,13.0137,13.5988666667
243.42,12.3034,14.616,12.4437666667,10.7205878788,12.5656,16.3858666666,12.2938666667,13.6375,13.6516,13.8670666667
243.80,10.7832,12.9320666667,9.98096666666,8.80091818182,10.8119333333,14.8328,10.4012333333,11.7621333333,11.8863,12.0725333333
244.17,8.94193333333,11.3108,8.17873333334,7.41872727273,9.39133333334,13.2583333333,9.19936666667,9.9578,10.2574333333,10.8988666667
244.55,7.48606666667,9.488,6.5552,6.1251969697,7.45819999999,11.4712666667,7.4954,8.41716666666,8.79429999999,9.43206666666
244.92,7.919,9.56760000001,6.4819,6.26979090909,7.56746666667,12.1982,7.72526666667,8.6937,9.20720000001,9.8468
245.30,7.36353333333,8.37833333333,5.5141,5.0756969697,6.92473333333,12.1806666667,7.05366666667,7.35903333333,8.46886666667,9.37633333333
245.67,8.88113333334,9.39733333333,6.7294,6.46457878788,8.48193333333,13.7951333333,8.09863333333,8.43886666667,9.39749999999,10.8139333333
246.05,9.79646666667,10.0279333333,7.93346666667,7.44451515152,9.66326666666,14.5402,9.31936666667,9.23153333333,9.96150000001,11.0244666667
246.42,9.86579999999,9.87873333332,8.2151,7.18354545455,9.6934,14.4956,9.9391,9.14423333334,9.96486666667,11.3729333333
246.79,9.32626666667,9.04166666667,8.2433,6.70557878788,9.18120000001,13.9896666667,9.49486666667,8.64696666667,9.24503333333,10.906
247.17,9.19659999999,8.73240000001,7.90496666667,6.91074242424,9.0472,13.9844666667,9.29016666666,8.2332,9.06053333333,10.6111333333
247.54,8.5076,7.9532,7.26426666667,6.39526060606,8.5482,13.2266,8.57613333333,7.51853333333,8.53536666667,9.72786666668
247.92,9.16726666667,8.50586666667,8.4335,7.08267878788,9.31206666667,13.9849333333,9.35303333333,8.42156666667,9.30216666667,10.4174
248.29,9.49566666668,8.87166666666,9.00540000001,7.49705757576,9.64580000001,14.2857333333,9.78176666666,8.76373333333,9.52606666667,10.4856
