wavelength,Back_TanSchf,Belly_TanSchf,Breast_TanSchf,Crissum_TanSchf,Crown_TanSchf,DorTail_TanSchf,Patch10_TanSchf,Patch11_TanSchf,Patch12_TanSchf,Patch13_TanSchf,Patch14_TanSchf,Patch15_TanSchf,Rump_TanSchf,Throat_TanSchf,WingTip_TanSchf
226.51,5.40986666665,-0.792199999994,-2.78666666665,-11.8579,-3.16933333333,-11.5846666667,-6.66666666665,-2.67759999999,-14.8087333333,1.53013333333,-5.08193333333,-14.0437333333,0.054733333326,1.25686666666,0.92580370372
226.88,9.09093333335,7.07063333333,2.47466666667,-4.87363333334,0.606066666646,-3.1818,-1.3636,2.87886666667,-8.43440000001,6.51506666667,5.99960081615e-12,-11.01,2.67680000001,7.17159999999,5.11235185187
227.26,10.8796,10.0231666667,5.87966666667,-3.42586666665,4.07413333333,1.62026666667,3.00933333335,6.75933333333,-5.46313333333,9.5834,2.8704,-6.29626666667,6.80553333335,8.24066666667,9.55002962961
227.64,11.3820666667,10.8332666667,6.91053333333,-0.243866666674,5.52833333334,2.76433333333,3.5772,5.52853333334,-1.95126666668,7.92686666667,5.24386666667,-2.03260000001,7.31700000001,9.67493333333,11.2690259259
228.01,10.6861333334,13.317,9.41159999999,3.34969999999,7.18946666667,7.12399999999,6.43793333333,6.50326666667,-0.392266666668,5.42486666667,6.14366666667,0.326866666666,8.98673333333,10.0326,11.3072037037
228.39,9.98526666667,12.3496,8.89879999999,2.76076666666,6.13813333333,6.6666,5.87380000001,5.52133333335,-1.49766666667,3.84720000001,4.93393333334,-0.61666666666,6.90153333333,9.80913333333,10.3263444444
228.76,6.02413333333,8.34013333332,4.60506666667,-0.20083333334,3.42713333333,5.86360000001,4.41773333333,2.30253333333,-5.19393333333,1.33860000001,0.9638,-2.75766666667,3.15913333333,6.1848,8.0127962963
229.14,8.28506666667,10.2536666667,6.25626666667,2.16186666667,5.94193333332,7.92253333333,6.61826666667,4.2994,-2.7536,3.76826666667,3.50253333333,0.942133333332,4.66186666667,9.05800000001,10.3932407407
229.52,6.80706666667,10.2690333333,4.49119999999,1.43873333334,3.92993333333,7.69586666667,5.73086666666,1.77773333333,-2.269,3.46206666667,3.0642,1.16946666667,3.92973333334,8.42120000001,10.4676037037
229.89,7.31940000001,10.1049,4.1492,1.20046666667,2.61073333333,7.7156,5.54786666666,0.606066666666,-2.33113333333,3.79953333334,2.63399999999,0.979000000006,3.70633333334,7.78546666667,11.1176555555
