wavelength,Back_SalOref,Belly_SalOref,Breast_SalOref,Crissum_SalOref,Crown_SalOref,DorTail_SalOref,Patch10_SalOref,Patch11_SalOref,Rump_SalOref,Throat_SalOref,WingTip_SalOref
407.19,9.74286666667,17.6143,25.2233333333,7.09186666667,8.7092,6.92313333333,26.8306666667,4.81593333333,10.2685733333,36.4802,9.27366666667
407.55,9.74946666665,17.6586333333,25.3144666667,7.07133333333,8.71153333333,6.9356,26.8474666667,4.79846666667,10.2689733333,36.4505333333,9.27149999999
407.90,9.76186666667,17.6651,25.3659,7.07786666667,8.73573333333,6.90153333333,26.8944666667,4.77193333333,10.2951866667,36.5198,9.2905
408.26,9.75519999999,17.7242,25.4818333333,7.10526666667,8.7523,6.88906666667,26.9759333334,4.76846666667,10.3049733333,36.6507333333,9.31416666666
408.62,9.76199999999,17.7864333333,25.5452,7.10773333333,8.78026666667,6.8948,27.0733333333,4.75793333333,10.29512,36.7725333333,9.29479999999
408.98,9.80880000001,17.8903,25.6600333333,7.13773333333,8.81526666667,6.936,27.1616666667,4.8088,10.3199466667,36.8447333334,9.35579999999
409.34,9.93793333333,18.0660666667,25.8675,7.26346666667,8.92786666667,7.02533333333,27.3614666667,4.92906666667,10.4297333333,37.0112666667,9.40933333334
409.70,9.98806666667,18.1854,25.9901,7.31453333333,8.96803333334,7.06266666667,27.4261333333,4.97393333333,10.4728133333,37.0955333333,9.45773333333
410.06,9.96766666667,18.2024666667,26.0090333333,7.26886666667,8.9391,7.01286666667,27.4087333333,4.9172,10.4515066667,37.1458,9.43766666667
410.42,9.99593333333,18.2239333333,26.0637333333,7.28173333333,8.94563333333,7.05466666667,27.4986666667,4.93093333333,10.4618533333,37.2050666667,9.42613333333
410.77,10.1074,18.3621333333,26.1914333333,7.39273333333,9.04403333333,7.176,27.6176,5.03353333333,10.5744133333,37.3581333333,9.48949999999
