wavelength,Back_IncPerf,Belly_IncPerf,Breast_IncPerf,Crissum_IncPerf,Crown_IncPerf,DorTail_IncPerf,Patch10_IncPerf,Patch11_IncPerf,Rump_IncPerf,Throat_IncPerf,WingTip_IncPerf
803.46,23.9873333333,38.863,29.4913333333,28.5046666667,21.7806666667,21.9623333333,7.39866666667,32.282,16.7963333333,21.1316666667,17.783
803.76,25.064,38.94,30.0816666667,29.2883333333,22.5293333333,23.3743333333,8.90966666667,33.487,17.5113333333,21.4796666667,18.382
804.07,25.9116666667,38.791,30.5533333333,29.3036666667,22.545,24.0753333333,9.15566666667,34.2385,17.674,21.4996666667,18.1333333333
804.38,25.4613333333,38.41,30.923,29.154,21.564,23.7436666667,8.59,34.0,17.7946666667,21.641,17.5643333333
804.68,25.0196666667,38.6946666667,31.313,28.5676666667,20.8493333333,23.362,7.822,33.7995,17.612,21.8596666667,16.809
804.99,24.4953333333,38.6833333333,31.419,28.3243333333,21.243,23.289,8.13,33.6745,17.3616666667,22.0036666667,16.2076666667
805.30,25.0723333333,39.6476666667,31.8866666667,28.6503333333,21.6523333333,23.5723333333,8.73433333333,34.0965,17.785,23.1256666667,16.943
805.60,25.8026666667,39.916,32.4906666667,28.9886666667,22.3013333333,23.6703333333,9.53133333333,34.0835,18.3256666667,23.9073333333,18.22
805.91,25.6226666667,39.9573333333,32.141,28.1396666667,21.701,22.5756666667,9.03533333333,33.9825,17.647,23.3703333333,17.8856666667
806.21,24.8196666667,39.0713333333,31.652,27.1416666667,20.603,21.537,8.38,33.3465,16.76,22.1246666667,17.534
806.52,23.9156666667,38.3346666667,30.3006666667,26.177,20.4043333333,20.83,8.35366666667,34.158,16.68,20.963,16.5736666667
806.83,22.8353333333,38.8526666667,30.2756666667,26.1363333333,20.725,20.563,7.49466666667,34.4155,16.6936666667,21.185,16.2066666667
807.13,21.361,38.722,29.4166666667,25.0003333333,20.0833333333,19.2496666667,5.88866666667,33.3335,16.3333333333,20.361,14.7776666667
807.44,21.783,39.2486666667,29.941,25.988,20.0166666667,19.2316666667,5.831,33.8095,17.4093333333,21.4183333333,15.7556666667
807.74,21.76,39.4736666667,29.966,26.146,20.2603333333,19.015,5.48933333333,34.423,17.968,21.279,15.733
808.05,21.7563333333,38.7796666667,29.7976666667,26.6323333333,20.0456666667,18.6483333333,5.58866666667,34.602,18.192,20.901,16.4243333333
808.35,22.2796666667,38.1566666667,29.2563333333,26.3563333333,19.552,18.174,4.45033333333,34.2805,18.03,20.4423333333,16.5086666667
