wavelength,Back_SpoLucf,Belly_SpoLucf,Breast_SpoLucf,Crissum_SpoLucf,Crown_SpoLucf,DorTail_SpoLucf,Patch10_SpoLucf,Rump_SpoLucf,Throat_SpoLucf,WingTip_SpoLucf
826.91,21.3035,64.386,38.4723333334,46.5979166667,19.3814166667,25.13975,24.3241666667,23.3009166667,37.585,20.5295
827.21,21.83975,64.8786666667,38.8951666667,46.91975,19.73925,25.2745,24.77125,23.6466666667,37.9155833333,20.90975
827.51,21.8225,64.3529166667,38.4735833333,46.7066666667,19.67825,24.99225,24.7455833333,23.47675,37.5405833333,20.7736666667
827.82,22.1623333333,64.4468333333,38.9485,46.9630833333,19.8508333333,25.3029166667,25.1035833333,23.7445833333,37.70525,21.1540833333
828.12,22.15975,64.39775,39.1849166667,47.0429166667,19.98675,25.4213333333,25.0751666667,23.7738333333,37.8085833333,21.3380833333
828.42,21.712,63.7690833333,39.0221666667,46.7519166667,19.835,24.898,24.6894166667,23.4823333333,37.4998333333,20.931
828.72,21.77125,64.0135833333,39.3735833333,46.9008333333,19.90975,24.84175,25.0240833333,23.5174166667,37.41125,20.9845
829.02,22.0561666667,64.8419166666,39.7729166667,47.2841666667,19.9501666667,25.0266666667,25.525,23.5625,37.3699166666,21.2656666666
829.33,21.6381666667,64.6294166667,39.4155,47.1490833333,19.4285833333,24.63175,25.07125,23.20625,36.7306666667,20.6521666667
829.63,22.4424166667,65.345,39.9616666667,47.9315,19.9180833333,25.2775833333,25.8921666667,23.6121666667,37.3710833333,21.3125
829.93,21.7015833333,64.5723333334,39.1055,47.31475,19.4321666666,24.59875,25.3138333333,23.0005833334,37.1205,21.0814166667
830.23,21.731,64.3305,39.2678333333,47.38175,19.9670833333,24.4825833333,25.243,23.048,36.99425,21.3783333333
830.54,21.0526666667,63.7989166667,38.95075,47.0815833333,19.34875,24.1734166667,24.6458333333,22.9165833334,36.513,20.8923333333
830.84,20.5855,64.5766666667,39.1260833333,47.4865,18.8739166667,24.1351666667,23.9190833334,22.7116666667,36.6486666667,20.8198333333
831.14,19.5763333333,63.95025,38.1215,47.0256666666,17.781,23.41625,22.5414166667,21.80475,35.9300833333,20.0460833333
831.44,19.5775,63.8826666667,37.8584166667,46.63575,17.3375833334,23.0323333333,21.9349166667,21.2460833333,35.7090833333,19.668
831.74,19.4475,63.82425,37.4339166666,46.304,16.8865833333,22.6680833333,21.4979166666,20.83775,35.5860833333,19.58825
832.04,19.562,63.2629166666,37.1226666667,46.2600833333,17.2735833333,22.728,21.2843333333,20.8414166666,35.7284166666,19.8491666667
832.35,20.0890833334,62.9645833334,37.2544166667,46.4716666667,17.8450833334,23.0583333333,21.4868333333,21.5700833333,36.1136666667,20.1043333333
832.65,21.58875,64.397,38.9863333334,47.68875,19.2565,24.5683333333,23.16225,23.1133333333,37.3710833333,21.5539166667
832.95,22.6318333333,65.0103333334,39.9261666666,48.0266666667,20.3090833333,25.828,24.0165833333,24.3594166667,38.2829166667,22.5673333333
833.25,22.676,65.25625,40.06025,48.4241666667,20.4868333333,26.1834166667,24.1845,24.6443333333,38.245,22.7188333333
833.55,21.9134166667,64.666,39.4299166667,48.011,19.7826666667,25.9974166667,23.7369166667,24.10875,37.4880833333,22.3086666667
833.85,21.8770833333,64.0558333333,39.264,47.5973333333,20.2623333333,26.1085,23.9704166666,24.2065833333,37.182,22.7099166666
834.16,22.02025,63.8355833333,39.3313333333,47.3835833334,20.69275,26.2833333333,24.15725,24.4549166667,37.2383333333,22.8353333334
834.46,22.4206666667,64.2470833333,39.6493333333,47.76775,21.2798333333,26.6645,24.6803333333,24.86225,37.6378333334,23.0655
834.76,22.76275,64.8305,40.1695833333,48.3955,21.6725,26.8983333333,25.3899166667,25.5760833333,38.01675,23.5875
835.06,22.8644166667,64.4379166666,40.0373333333,48.00975,21.7644166666,26.9844166666,25.6343333333,25.74475,37.9246666667,23.4579166667
835.36,23.2433333333,64.6325833333,40.52625,48.0524166667,21.96125,27.0895833333,26.0785833334,26.2881666666,38.252,23.6748333334
835.66,23.1379166667,64.6261666667,40.9271666667,48.0190833333,22.0614166667,27.311,26.39975,26.4460833333,38.0349166667,23.77175
835.96,23.1275833333,64.1064166667,40.6311666667,47.766,22.3546666667,27.21275,26.3618333333,26.5816666667,37.9716666667,23.9220833333
836.26,22.2948333333,63.23075,39.9018333333,47.0225833333,22.0305833333,26.18925,25.785,25.9638333333,37.0646666666,23.422
836.57,22.9358333333,63.6984166667,40.6175833333,47.30475,22.7054166666,26.2113333333,26.6119166667,26.3560833333,37.7686666666,23.8570833333
836.87,22.6935833333,63.0394166667,40.2623333333,46.6890833333,22.4608333333,25.7904166666,26.4416666667,26.1720833334,37.8535,23.456
837.17,23.4151666666,62.94475,40.2351666667,47.12675,22.2085833333,25.4703333333,26.1043333333,26.08375,37.96525,22.8936666666
