wavelength,Back_ConFerm,Belly_ConFerm,Breast_ConFerm,Crissum_ConFerm,Crown_ConFerm,DorTail_ConFerm,Patch10_ConFerm,Rump_ConFerm,Throat_ConFerm,WingTip_ConFerm
441.11,10.6357333333,6.24773333333,6.7705,5.00613333334,9.69666666667,7.85113333334,26.0209333333,13.6130666667,8.4361,7.90566666667
441.47,10.6291666667,6.2624,6.78702666666,5.02046666667,9.71026666666,7.8548,26.0568666667,13.617,8.45363333333,7.9152
441.82,10.6467333333,6.30833333333,6.81010666667,5.0364,9.73846666667,7.87120000001,26.1013333333,13.6449333333,8.49116666667,7.92033333333
442.18,10.6417666667,6.32273333333,6.81724666667,5.0346,9.76126666666,7.88326666667,26.1599333333,13.6417333333,8.50456666667,7.91853333333
442.53,10.6322333333,6.32853333333,6.81560666667,5.04293333333,9.78006666668,7.90006666667,26.2216,13.6554666667,8.51326666667,7.9216
442.89,10.6456666666,6.34746666667,6.84059333333,5.0636,9.80199999999,7.91206666666,26.2872,13.6726,8.52266666667,7.9314
443.24,10.6647666667,6.36393333333,6.86577333333,5.07846666667,9.83126666666,7.92033333334,26.3709333333,13.6986,8.5537,7.94266666667
443.60,10.6603,6.3782,6.87405333333,5.08773333334,9.86246666667,7.93206666667,26.4415333333,13.7054666667,8.5607,7.96193333333
443.95,10.6875666667,6.41193333333,6.90548,5.11586666667,9.90739999999,7.9526,26.5386666667,13.7342,8.60186666667,7.99086666667
444.31,10.6533666667,6.3926,6.87361333333,5.0984,9.87906666667,7.91913333333,26.5554,13.7019333333,8.58566666667,7.95646666667
444.66,10.6465,6.39786666667,6.86461333333,5.08733333333,9.87153333335,7.91053333334,26.6081333333,13.711,8.5793,7.95026666667
445.02,10.6769666667,6.4362,6.89403333333,5.10346666667,9.89520000001,7.92399999999,26.6926,13.7195333333,8.60156666667,7.96793333333
445.37,10.7068,6.46066666667,6.93154666667,5.1344,9.93086666666,7.9514,26.7787333333,13.7258666667,8.63523333333,7.99093333333
445.72,10.6937,6.4514,6.92470666667,5.12826666667,9.92859999999,7.93706666666,26.8087333333,13.7192666667,8.63156666667,7.97493333333
446.08,10.6987333333,6.45773333333,6.94284,5.14293333333,9.93986666667,7.93333333333,26.8598,13.7286666667,8.63373333333,7.97606666667
446.43,10.6917,6.4578,6.94308,5.14033333333,9.94206666665,7.92233333333,26.8808,13.7181333333,8.62466666667,7.97406666667
446.79,10.6645333333,6.43746666667,6.92464,5.12506666667,9.92706666665,7.89873333333,26.8823333333,13.7021333333,8.61253333333,7.9574
447.14,10.6448666667,6.42673333333,6.90902,5.11753333333,9.90993333331,7.87873333334,26.9020666667,13.6743333333,8.58476666667,7.9486
447.50,10.6746666667,6.445,6.93766,5.1472,9.93166666666,7.89213333333,26.9418,13.6935333333,8.60853333333,7.9636
447.85,10.6639,6.4346,6.9298,5.14206666667,9.9246,7.87906666667,26.9533333333,13.6889333333,8.60683333333,7.94333333333
448.21,10.6686,6.4404,6.94063333333,5.1384,9.93313333335,7.88573333333,27.0004666667,13.7040666667,8.60893333333,7.93813333333
448.56,10.6906666666,6.4512,6.94526666667,5.1546,9.95526666665,7.88613333333,27.0443333333,13.709,8.62703333333,7.94066666667
448.92,10.6951333333,6.45966666667,6.96155333333,5.1808,9.97880000001,7.89813333333,27.1026,13.7388666667,8.64243333333,7.94626666667
449.27,10.6911666667,6.45206666667,6.94406,5.17966666667,9.97773333333,7.87026666667,27.1193333333,13.7388,8.61843333333,7.92213333333
449.62,10.6783333333,6.43206666667,6.9344,5.18573333333,9.97306666667,7.86386666666,27.1836666667,13.7296666667,8.62143333333,7.92166666667
449.98,10.6913666667,6.4474,6.95100666667,5.20833333333,9.997,7.87873333333,27.2532,13.7442,8.64246666667,7.92566666667
450.33,10.6947,6.45513333333,6.9543,5.21066666667,10.0096,7.8864,27.3381333333,13.7578666667,8.66656666667,7.9336
450.69,10.7256333333,6.49366666667,6.99268,5.2512,10.0641333333,7.91933333334,27.4472,13.8071333333,8.72306666667,7.952
451.04,10.7816666667,6.56353333333,7.05859333333,5.30613333333,10.1596666667,7.98866666667,27.5738,13.884,8.80526666667,8.00433333333
451.40,10.7723,6.57653333333,7.08173333333,5.31746666667,10.1814,7.988,27.652,13.9130666667,8.83346666667,8.005
451.75,10.8062333333,6.61833333333,7.13182666667,5.37086666667,10.2466,8.04646666667,27.7768,13.9436666667,8.89063333333,8.0578
452.10,10.8582333333,6.67246666667,7.19292666667,5.4264,10.3272,8.0882,27.8580666667,13.9842666667,8.9496,8.1056
452.46,10.8605333333,6.69266666667,7.22174666667,5.4532,10.3544666667,8.11033333334,27.9379333333,14.004,8.9585,8.10713333333
452.81,10.8478666667,6.70186666667,7.21778666667,5.4562,10.3625333333,8.116,27.9488666667,13.9884666667,8.96453333333,8.0962
453.17,10.8176666667,6.69273333333,7.20116666667,5.44026666667,10.3652,8.11759999999,28.0215333334,13.9895333333,8.96636666667,8.07526666667
453.52,10.8273,6.704,7.20764,5.43953333333,10.3899333333,8.09666666667,28.0865333333,13.9884,8.96353333333,8.0566
