wavelength,Back_PooCinf,Belly_PooCinf,Breast_PooCinf,Crissum_PooCinf,Crown_PooCinf,DorTail_PooCinf,Patch10_PooCinf,Rump_PooCinf,Throat_PooCinf,WingTip_PooCinf
616.61,13.0655444444,52.1214333333,52.2220666667,48.0577333333,8.56433333333,7.76640000001,41.1233333333,16.7686444444,53.4844333333,8.82219999999
616.95,13.0474,52.1494333334,52.2974,48.067,8.53646666667,7.72286666667,41.1473333333,16.7405333334,53.5404416667,8.78619999999
617.28,13.0139111111,52.1145,52.3219333333,48.0799333333,8.51666666666,7.71586666667,41.1345333333,16.7172666667,53.5234833333,8.78426666666
617.62,12.9814777778,52.0456666667,52.2410333333,48.0102,8.4906,7.70353333333,41.0868666667,16.6766,53.4229333333,8.75373333333
617.95,12.9881888889,52.0389,52.2531,47.9766666667,8.49226666666,7.71526666667,41.1089333333,16.6836666667,53.4441333333,8.75673333333
618.28,12.9918222222,52.0567,52.2753666667,47.9296666667,8.46260000001,7.70713333334,41.1276,16.6632222222,53.42755,8.76433333334
618.62,12.9990888889,51.9959666667,52.2107333333,47.8750666667,8.47333333333,7.7298,41.1045333333,16.6473333333,53.3664166667,8.78386666666
618.95,12.9383888889,51.9074666667,52.1137333333,47.7551333333,8.43133333333,7.7064,41.0085333333,16.5619111111,53.2514916667,8.75619999999
619.28,12.9709777778,51.9138,52.1824333333,47.7872,8.463,7.76713333333,41.0197333333,16.6035333333,53.2766916667,8.79973333333
619.62,12.9965111111,51.9576,52.1959666667,47.7984,8.47686666666,7.80126666666,41.0238,16.6301777778,53.2863333333,8.8316
619.95,13.0005333333,51.9388,52.2192666667,47.8080666666,8.50440000001,7.82406666667,41.0053333334,16.6168444444,53.2911166667,8.8496
620.28,13.0300777778,52.0101333333,52.2819666667,47.8424666667,8.5276,7.85279999999,41.0376,16.6421333333,53.37375,8.87146666666
620.62,13.0365,52.046,52.2727666667,47.8488,8.52933333333,7.88713333333,41.0082,16.6521111111,53.34195,8.88853333333
620.95,13.0367,52.0486,52.2186666667,47.8235333333,8.528,7.87453333333,40.9944,16.6478666667,53.3085583333,8.87726666666
621.28,13.0815555555,52.1090666667,52.2752,47.8810666667,8.56013333333,7.90753333333,41.0493333333,16.6890888889,53.3771083333,8.93406666666
621.62,13.1157111111,52.1258,52.3074333333,47.9581333334,8.58826666666,7.9482,41.0828666667,16.7176888889,53.4324,8.98146666667
621.95,13.1479666667,52.1710666667,52.3479,48.0306666667,8.64,8.01500000001,41.1218,16.7517333333,53.5165166667,9.0124
622.28,13.1198777778,52.1498,52.3253666667,48.0499333333,8.61866666667,8.00766666667,41.1035333333,16.7491555556,53.474825,8.99806666667
622.62,13.1602666667,52.2218666666,52.3879,48.1506666666,8.65146666667,8.03460000001,41.1898,16.8121555556,53.5746916667,9.02353333333
622.95,13.1251222222,52.2749,52.4155666667,48.1802,8.59226666666,7.98293333333,41.2368666667,16.7656,53.609525,8.98619999999
623.28,13.0871222222,52.2860333333,52.4208,48.1715333333,8.57760000001,7.97073333334,41.2409333333,16.7188666667,53.642025,8.97413333333
623.62,13.0915444445,52.2550666667,52.3710333333,48.1708,8.56806666667,7.99060000001,41.2356666667,16.7163777778,53.5884666667,8.96799999999
623.95,13.1172111111,52.3308666667,52.4199,48.2356666667,8.57346666666,8.01066666666,41.2842,16.7354888889,53.5822,9.0026
624.28,13.1209111111,52.3813666667,52.4593666667,48.2882666667,8.58379999999,8.01,41.3339333333,16.7383111111,53.6193833334,9.03033333333
624.62,13.1109111111,52.3628333333,52.439,48.2873333333,8.5812,8.02493333334,41.3232666667,16.7320666666,53.5815916667,9.04133333333
624.95,13.0581777778,52.2961,52.3998,48.2807333333,8.52893333333,7.98746666666,41.2638666667,16.6672666667,53.5460916667,8.99413333333
625.28,13.0251222222,52.2805666667,52.3828666667,48.2578666667,8.50786666667,7.95079999999,41.2352666667,16.6318666667,53.47405,8.98486666666
625.61,13.0113222222,52.3351666667,52.4279666667,48.2706,8.51126666667,7.9134,41.2530666667,16.6225555555,53.477175,8.97700000001
625.95,13.0535888889,52.4087,52.4593666667,48.2998666667,8.55466666667,7.94613333333,41.2834,16.6599777778,53.5173416667,9.02393333333
626.28,13.0926222222,52.4603,52.5168666667,48.3363333333,8.5736,7.97393333334,41.3015333333,16.6848,53.5071,9.05440000001
