wavelength,Back_PipMelm,Belly_PipMelm,Breast_PipMelm,Crissum_PipMelm,Crown_PipMelm,DorTail_PipMelm,Patch10_PipMelm,Patch11_PipMelm,Rump_PipMelm,Throat_PipMelm,WingTip_PipMelm
837.47,7.30579999999,43.3208,40.7519333333,43.1704666667,16.7043333334,2.59406666667,5.18786666666,-3.54646666667,12.168,39.1104,1.10266666667
837.77,6.70713333334,42.4193333333,40.1747333333,43.4005333333,15.8065333333,1.9354,4.05906666666,-4.28753333333,11.1695333333,38.2257333333,-0.161333333335
838.07,7.25619999998,43.0034,39.2702,43.4386,16.1120666667,1.81053333333,3.10173333333,-4.6736,10.9754,38.5402666667,0.828199999998
838.37,8.82059999999,42.9584,39.2775333333,44.0082,17.7504666667,3.7082,4.70326666666,-2.39940000001,12.6925333334,38.6366666667,2.99926666667
838.67,9.07626666666,41.8607333333,39.0494666667,42.9183333333,17.0014,3.23953333333,5.14060000001,-1.64666666667,12.5167333334,37.577,3.54753333333
838.97,6.8546,39.933,36.7136,42.039,15.0368666667,0.831666666665,3.99726666666,-3.04500000001,11.1737333333,35.5867333333,2.32053333333
839.27,9.33579999999,41.1606,37.9626,43.2753333333,18.3623333333,4.43593333333,6.48593333334,0.361000000002,14.236,37.5629333333,6.02193333333
839.57,7.50973333332,39.7924,35.5642,41.5825333333,15.9922666667,2.8146,4.44886666667,-1.2062,12.8014,36.4851333333,4.73413333333
839.87,7.5062,39.4736,35.0124666667,41.1905333333,16.2156,2.95746666667,4.76186666667,-0.401000000008,13.1953333333,36.9798666667,5.9274
840.17,5.69833333333,36.5115333333,32.4643333333,38.622,13.4947333334,1.0926,3.25253333333,-2.1974,11.0863333333,34.252,3.91066666667
840.47,3.2006,33.7634666667,29.9304,36.2683333333,11.1322666667,-2.01146666667,0.303533333334,-4.85766666666,8.6022,31.9544666667,1.2524
840.77,5.85859999999,35.8585333333,32.5882666667,38.6868666666,14.2170666667,0.795399999998,3.61113333333,-1.28793333333,11.0101333333,35.0379333333,4.04033333333
841.07,5.37286666666,36.0528,32.1979333333,39.3135333333,14.231,-0.0793333333327,2.57413333333,-2.4028,9.99333333332,36.3696666667,4.07919999999
841.37,1.69133333333,32.8399333333,30.3452666666,37.4066666667,10.6975333333,-4.04506666667,-1.21206666667,-5.96199999999,6.4552,34.2494666666,0.577933333332
841.67,2.63746666667,32.4834666667,30.3004,37.4506,10.5934666667,-3.31126666667,-0.351733333334,-4.8352,7.44313333333,35.077,0.937733333334
841.97,6.63746666668,34.7514,33.0994666667,39.883,14.4298,1.24266666667,3.17239999999,-0.4824,10.8626,37.734,5.10240000001
842.27,4.01566666667,31.5608666667,30.6980666667,37.7882666667,11.9686,-1.53733333333,-0.674533333334,-3.52946666667,7.27846666667,37.1607333333,1.7726
842.57,2.1888,29.3233333333,29.5404,36.6248666667,9.17299999999,-3.70926666667,-2.08853333334,-5.69760000001,4.94566666667,35.873,-0.6182
