wavelength,Back_TanVirf,Belly_TanVirf,Breast_TanVirf,Crissum_TanVirf,Crown_TanVirf,DorTail_TanVirf,Patch10_TanVirf,Patch11_TanVirf,Patch12_TanVirf,Rump_TanVirf,Throat_TanVirf,WingTip_TanVirf
190.95,1374.99983333,1373.21425,1368.45258333,1346.82555556,1429.16683333,1368.80426894,1474.99991667,1413.09525,1508.33325,1252.27345023,1533.33341666,1529.76191666
191.33,-1463.19433334,-1468.05541666,-1455.55558333,-1418.51844444,-1560.41675,-1466.88770834,-1613.19441667,-1549.3055,-1632.63891667,-1379.56217593,-1706.9445,-1672.91666666
191.71,-517.1875,-519.010416666,-512.760416666,-500.347222222,-566.927083333,-525.568181818,-576.822916667,-558.854166667,-569.53125,-495.211226852,-606.510416667,-604.947916667
192.09,-394.444333333,-397.863416667,-387.1795,-367.806222222,-438.888833333,-404.011193182,-440.598166666,-425.213583333,-430.12825,-371.251719907,-467.094083333,-466.453
192.47,-305.797166667,-315.035916666,-306.521833333,-286.714777778,-346.014416667,-315.250185606,-353.623333333,-337.137666666,-329.166666667,-279.84853125,-369.384,-360.507333333
192.85,-222.361333333,-217.361,-222.639,-208.333333333,-254.027833333,-229.993678031,-256.527916667,-246.111,-235.5555,-200.657798611,-269.027666667,-259.3055
193.23,-202.603916667,-200.5205,-198.567416667,-187.152555556,-232.421666667,-217.903416666,-232.031,-219.661166667,-215.364416667,-176.884119213,-249.99975,-239.452916667
193.61,-185.676916667,-184.504916667,-186.978916667,-174.131777778,-214.452916667,-205.76457197,-210.286333334,-205.859166667,-198.307,-164.917851852,-232.551916667,-227.473583333
193.99,-157.720583334,-159.926583333,-160.4165,-147.549,-188.23525,-180.347537879,-184.558833333,-173.039166667,-174.142166667,-142.179096065,-200.122416667,-201.34825
194.37,-86.9416666667,-89.4329166667,-93.4706666666,-81.5577777779,-107.302333333,-104.334602273,-109.622083333,-98.7974166667,-99.5704166668,-80.6892847222,-117.439916667,-120.189
194.75,-89.0680833334,-91.6668333333,-95.8781666667,-87.2161111111,-111.4695,-103.78782197,-111.559,-100.358583333,-98.6559166666,-86.5604976852,-118.996416667,-122.491
195.13,-73.4005833333,-76.5150833333,-80.8081666666,-71.156,-96.21225,-88.0586704545,-95.1178333333,-83.1648333333,-85.6901666665,-74.4376574075,-96.6330833335,-106.313333333
195.51,-99.6835,-105.06325,-107.173,-97.7496666664,-125.738416667,-117.280507576,-120.147666667,-106.856583333,-114.662333333,-98.7444467593,-121.097083333,-139.557
195.89,-95.4337499999,-109.246666667,-114.954333333,-98.4780000001,-129.337916667,-118.550193182,-121.118666667,-108.675833333,-121.347,-98.9107048611,-125.342333333,-145.547916666
196.27,-101.598166666,-109.588916667,-119.749,-104.566333333,-133.789916667,-123.920753788,-123.63025,-118.378916667,-126.8265,-104.635962963,-130.707666667,-146.346916667
196.65,-76.7856666668,-84.9205833334,-90.5755833334,-75.925888889,-105.654833333,-97.5288295455,-93.3530833332,-90.0794166668,-98.6112499999,-79.0868344908,-100.297583333,-118.849166666
197.03,-57.2465,-69.0218333333,-73.2790833334,-57.3673333334,-84.4201666667,-81.0276931818,-73.3696666667,-73.9132500001,-79.7102499999,-62.6472893518,-79.5289166666,-98.6412499999
197.40,-61.17875,-69.81725,-82.6219166666,-59.2142222223,-90.1424166667,-90.2161250001,-78.8617500001,-83.5365833333,-86.5854166667,-69.7027199075,-88.9229999999,-106.30075
197.78,-57.5490833334,-64.6078333333,-78.1371666666,-52.8104444445,-90.294,-87.9098598486,-81.6666666667,-79.3137499999,-83.2353333334,-65.7337939814,-86.2745833333,-105.196166667
198.16,-46.4960833332,-57.3864166667,-72.7274166668,-44.0654444444,-79.64025,-78.3488181819,-73.3900833333,-73.1061666666,-73.8635833333,-54.8203842593,-77.3674166666,-94.3182499999
