wavelength,Back_TanVarf,Belly_TanVarf,Breast_TanVarf,Crissum_TanVarf,Crown_TanVarf,DorTail_TanVarf,Patch10_TanVarf,Patch11_TanVarf,Rump_TanVarf,Throat_TanVarf,WingTip_TanVarf
391.00,11.3581111111,28.5223333333,21.5354444444,26.9755555556,9.63366666666,10.3567777778,9.10155555556,11.4525555556,11.0896666667,22.6268888889,8.12427777778
391.36,11.3303333333,28.4217777778,21.41,26.8743333333,9.56488888888,10.3865555556,9.10944444445,11.4114444444,11.0928888889,22.5001111111,8.14233333333
391.72,11.2765555556,28.24,21.1686666667,26.6815555556,9.45333333332,10.3337777778,9.05422222222,11.3177777778,11.0182222222,22.3236666666,8.08944444444
392.08,11.2084444444,28.0768888889,21.0135555556,26.5614444444,9.34700000001,10.3128888889,9.00722222221,11.2702222222,10.9492222222,22.1936666667,8.04905555556
392.44,11.147,27.904,20.8223333333,26.4076666667,9.23722222223,10.2776666667,8.99011111112,11.2219444445,10.9016666667,22.0487777778,8.01094444445
392.80,11.1637777778,27.7783333333,20.689,26.3867777778,9.21333333332,10.2893333333,9.01166666668,11.2354444444,10.8692222222,21.9484444445,8.02411111111
393.16,11.1586666667,27.6496666666,20.5146666667,26.2907777778,9.20122222222,10.2898888889,9.00355555554,11.2161111111,10.8551111111,21.8332222222,8.04894444445
393.52,11.1287777778,27.517,20.3437777778,26.165,9.14233333333,10.305,9.04799999999,11.2198888889,10.8306666667,21.7207777778,8.07855555556
393.88,11.077,27.3261111111,20.155,26.0165555555,9.07522222222,10.2807777778,8.99066666667,11.1538888889,10.7714444444,21.5565555555,8.07833333333
394.24,11.0218888889,27.17,19.9672222222,25.8866666667,8.99833333333,10.2678888889,8.979,11.103,10.7123333333,21.4746666667,8.03561111111
394.60,10.9346666667,26.9844444444,19.797,25.7306666667,8.90566666667,10.1795555556,8.93,11.016,10.618,21.2947777778,8.0295
394.96,10.7883333333,26.7454444445,19.5116666667,25.4927777778,8.75455555555,10.067,8.841,10.8846111111,10.4775555555,21.0843333333,7.95311111111
395.32,10.7713333333,26.6245555555,19.3823333333,25.4093333333,8.72088888889,10.0363333333,8.8888888889,10.8796111111,10.4321111111,21.0091111111,7.98866666667
395.68,10.7205555555,26.524,19.2371111111,25.3132222222,8.65666666667,10.0303333333,8.90422222221,10.8627777778,10.3887777778,20.914,7.98605555555
396.04,10.7801111111,26.4737777778,19.1624444444,25.3193333333,8.72088888889,10.1276666667,9.00966666668,10.9611111111,10.4828888889,20.8712222222,8.10777777778
396.40,10.7632222222,26.3401111111,19.0125555556,25.2338888889,8.66811111111,10.1372222222,9.01488888889,10.9499444444,10.4624444444,20.7738888889,8.14727777778
396.76,10.6731111111,26.1621111111,18.7883333333,25.0158888889,8.52511111111,10.0733333333,8.95544444446,10.85,10.3817777778,20.5836666667,8.10083333333
397.12,10.5606666667,25.9128888889,18.5322222222,24.8017777778,8.34444444444,9.98122222223,8.87466666668,10.7637222222,10.2547777778,20.3828888889,8.022
397.48,10.5091111111,25.7166666667,18.3324444444,24.6555555555,8.23966666667,9.9601111111,8.8198888889,10.6935,10.178,20.2706666667,8.00605555556
397.84,10.4382222222,25.5672222222,18.1526666667,24.479,8.12577777778,9.947,8.78688888889,10.6362222222,10.092,20.1447777778,7.96227777778
398.20,10.3993333333,25.42,17.9991111111,24.3406666667,8.05388888889,9.92977777779,8.77944444446,10.5991111111,10.0124444444,20.0244444444,7.98522222222
398.56,10.3155555555,25.2303333333,17.805,24.1845555556,7.92988888889,9.87366666667,8.72188888888,10.5301111111,9.91811111111,19.859,7.92444444445
