wavelength,Back_OryMaxf,Belly_OryMaxf,Breast_OryMaxf,Crissum_OryMaxf,Crown_OryMaxf,DorTail_OryMaxf,Rump_OryMaxf,Throat_OryMaxf,WingTip_OryMaxf
265.87,4.04233333333,2.6905,4.60975,5.598,4.69266666667,7.33233333333,5.3685,4.11866666667,8.16741666666
266.24,4.50183333333,3.43183333333,4.9875,5.86716666666,5.1045,7.65066666667,5.486,4.36633333333,8.35183333333
266.61,4.4255,2.92633333333,4.80008333333,5.52,4.925,7.41133333333,5.401,3.91383333333,8.17266666667
266.98,4.224,2.571,4.25266666667,4.993,4.5455,7.197,4.74066666666,2.81233333333,7.83991666666
267.36,4.3,2.1555,3.86675,4.44433333333,4.29983333334,6.81116666666,4.57783333333,2.4,7.48333333333
267.73,3.37016666666,1.39766666667,2.65483333334,3.45683333334,3.327,6.296,3.99866666666,1.6905,6.475
268.10,3.20933333334,0.823666666665,2.10233333333,2.79233333333,2.9525,6.02266666667,3.402,1.765,5.97991666666
268.48,2.65,0.27366666667,1.28283333333,2.52383333333,2.52383333333,5.69916666667,2.818,1.4615,5.49441666666
268.85,2.74833333333,0.529000000002,1.5765,2.821,3.1945,6.08783333334,3.236,1.90816666667,5.75083333334
269.22,3.01266666667,0.357333333335,1.71041666667,2.7165,3.48233333334,6.4235,3.64583333333,2.1855,5.68333333333
269.59,2.66,-0.03,1.38975,2.31133333333,2.879,5.768,3.19783333333,1.9525,5.16558333334
269.97,1.99766666667,-0.135,1.023,1.99783333333,2.32583333333,5.13383333333,2.75033333333,1.26416666667,4.76775
270.34,1.377,-0.484500000001,0.67425,1.586,1.70933333333,4.1785,2.2315,0.617166666665,4.69608333334
270.71,1.4005,-0.519333333335,0.802666666666,1.18716666667,1.75283333333,4.00666666666,1.79016666667,0.574833333332,4.39158333333
271.09,1.92216666667,0.027,1.53791666667,1.93133333334,2.09216666666,4.51533333334,2.04766666667,1.55583333333,4.63166666666
271.46,2.03933333333,0.173,2.0045,2.12533333333,2.4105,4.77783333333,2.1425,1.79716666666,4.44533333334
271.83,2.08533333333,0.4205,2.48058333333,2.22016666666,2.43016666666,4.87716666666,1.97616666667,1.7575,4.44416666666
272.20,2.43816666667,1.039,3.09266666667,2.86366666667,2.8475,5.34283333334,2.26616666667,1.98016666666,4.68008333334
272.58,2.83016666667,1.79,3.53558333333,3.1445,3.0075,5.77316666667,2.677,2.12066666667,4.74916666666
272.95,2.78833333334,1.79533333333,3.60291666667,2.94716666667,2.86783333333,5.40983333333,2.439,1.77166666666,4.42858333334
273.32,2.42683333333,2.1145,3.45583333334,2.83516666666,2.59483333333,5.0695,2.1385,1.72966666667,4.14458333333
273.69,2.7765,2.57416666667,3.77208333333,3.31066666666,3.05183333334,5.45583333334,2.63883333334,2.18583333334,4.4235
274.06,2.89666666667,2.4735,4.25391666666,3.35316666667,3.12916666667,5.49483333333,2.7555,2.24916666667,4.55266666666
274.44,3.1885,2.406,4.47033333333,3.4465,3.52166666666,5.76933333333,2.8555,2.47283333334,4.61208333333
274.81,3.53,2.8685,4.74808333333,4.2175,3.90366666666,6.1865,3.28433333333,2.80033333333,5.12541666667
275.18,3.469,2.89516666667,4.70358333333,3.85166666666,4.0255,5.886,3.20833333333,2.71283333333,5.1775
275.55,3.37833333334,3.18016666666,4.49991666666,3.847,4.11716666666,5.74766666667,3.3155,2.81083333334,5.20275
275.93,3.53466666667,3.80033333333,4.61533333334,4.03833333334,4.707,5.8885,3.6905,3.45233333333,5.66858333334
276.30,3.828,4.20166666666,4.70591666667,4.22966666667,5.21916666667,6.08783333334,4.02433333333,3.9215,6.05975
276.67,4.03916666667,4.43566666666,5.233,4.39783333333,5.91733333333,6.37033333333,4.4075,4.21866666667,6.89408333334
277.04,4.3095,4.98733333334,5.31191666667,4.5515,6.01383333333,6.69183333334,4.8035,4.53233333333,7.13733333334
277.41,4.45866666666,5.05683333333,5.66475,4.75783333334,6.36933333333,7.0355,5.385,4.94116666666,7.378
277.79,4.25866666667,5.42016666666,5.57466666667,4.8685,6.388,7.12333333334,5.294,5.004,7.40916666666
278.16,4.41933333334,5.65183333334,5.04541666666,4.74666666666,6.3065,7.2695,5.1415,5.09333333333,7.21633333333
278.53,3.95166666667,5.72,4.78733333333,4.5215,5.98083333334,7.333,4.92733333333,4.95666666666,6.9325
278.90,3.89966666667,5.84466666667,4.7275,4.458,6.03683333334,7.5485,5.10333333333,4.82383333334,6.86525
279.27,3.84016666667,5.852,4.73975,4.48833333333,5.90066666666,7.58366666666,5.20416666666,4.84616666667,6.80975
279.64,3.971,5.95616666667,4.92058333334,4.62,5.88983333333,7.6365,4.94466666667,4.58183333334,7.10683333333
280.02,3.69833333334,5.29683333333,4.47383333333,4.38883333334,5.439,7.29283333333,4.28516666666,3.83083333333,6.588
280.39,2.947,4.55466666666,3.86175,4.1295,4.70233333333,6.7535,3.6215,3.2705,6.07008333333
280.76,3.22383333333,4.54366666667,4.02725,4.32833333334,4.463,6.64516666667,3.43933333333,3.68183333333,6.205
281.13,3.10033333334,3.91183333333,3.64416666666,4.02433333333,4.36116666667,6.31266666666,3.03116666666,3.6615,6.084
281.50,3.57383333334,4.22516666667,3.92866666667,4.49233333333,4.50883333333,6.42133333333,3.13983333333,3.83283333333,6.5005
281.87,4.01016666667,4.22166666666,4.311,4.75016666666,4.7015,6.65366666667,3.19683333333,4.0835,6.69025
282.25,5.04066666667,5.26033333333,5.64833333333,5.809,5.6445,7.45516666667,3.88033333333,5.07216666667,7.4945
282.62,5.69533333334,5.77166666667,6.52641666666,6.427,6.11483333333,7.58616666667,4.37633333333,5.77166666667,7.97108333333
282.99,5.98166666666,6.173,6.95916666667,6.5845,6.19516666667,7.59116666666,4.57066666666,6.10683333334,8.0135
283.36,6.39333333334,6.549,7.28516666667,7.0165,6.457,7.83783333333,4.87116666667,6.59166666667,8.43966666666
283.73,6.5245,6.78416666667,7.38275,7.12633333333,6.53816666667,7.93333333333,5.12933333333,6.84583333333,8.51808333333
284.10,6.92366666666,7.167,7.7765,7.33183333333,6.68,8.2545,5.54666666667,7.1345,8.768
284.47,7.221,7.6355,7.98591666667,7.43166666667,6.8515,8.33016666667,5.81266666667,7.24666666667,8.98675
284.85,7.13316666666,7.392,7.67633333334,7.29983333334,6.68883333333,8.09583333333,5.91766666667,7.195,8.69125
285.22,7.36683333333,7.764,8.056,7.68583333334,6.90866666667,8.46266666667,6.24616666666,7.475,9.1135
285.59,7.68033333333,8.29783333333,8.52333333333,7.97133333334,7.20566666667,8.79616666667,6.69516666667,8.09016666667,9.48758333335
285.96,7.65866666666,8.28066666667,8.79683333333,7.8405,7.26533333333,8.6855,6.84266666667,8.251,9.64483333335
286.33,6.71716666667,7.36833333334,8.05758333333,7.04566666667,6.4825,7.867,6.41216666667,7.54433333333,9.0255
286.70,6.37433333334,7.1755,7.69025,6.68416666666,6.10533333334,7.66083333333,6.2865,7.25733333333,8.79558333333
287.07,6.21833333333,6.98533333334,7.39233333334,6.51333333333,5.935,7.36883333334,6.22416666666,6.9675,8.96775
287.44,5.90183333334,6.82216666666,7.01216666667,6.29983333334,5.8485,7.17833333333,6.20483333333,6.72733333334,8.92708333334
287.82,5.82583333333,6.8215,7.08741666666,6.21333333334,5.7185,7.15566666666,6.17766666666,6.67866666667,9.03716666667
288.19,5.69233333333,7.00983333334,7.2695,6.09766666666,5.92216666666,7.14883333333,6.27266666666,6.877,9.3215
288.56,5.52483333333,6.82366666666,7.40858333333,6.00283333333,5.9045,6.952,6.25983333334,6.89083333333,9.35908333334
288.93,5.5495,7.4545,7.51308333334,6.092,6.32633333333,7.09083333334,6.357,7.03516666666,9.48333333334
289.30,5.53083333333,7.67383333333,7.49283333333,5.94916666667,6.33666666666,6.99283333333,6.31183333333,7.07416666667,9.5175
289.67,5.02016666667,6.78933333333,6.77666666667,5.29516666666,5.72016666667,6.52683333333,5.54516666667,6.48283333333,9.07725
290.04,5.099,7.079,6.56208333333,5.49116666667,5.902,6.6495,5.7215,6.649,9.13333333333
290.41,5.10133333333,7.04866666666,6.35808333333,5.593,5.9725,6.66283333333,5.58033333333,6.76883333333,9.09233333333
290.78,5.15716666666,6.9685,6.29258333334,5.76716666667,6.10066666667,6.55983333333,5.591,6.96216666667,9.01266666666
291.15,4.76366666666,6.5375,5.97666666667,5.39716666667,5.73283333333,6.25883333333,5.04866666666,6.95566666666,8.50116666667
291.52,4.93366666667,6.56933333333,6.35216666666,5.5535,5.83433333333,6.31366666667,4.91433333333,7.13816666667,8.43883333334
291.89,4.921,6.53983333334,6.34558333334,5.71083333333,5.89866666667,6.38416666667,4.921,7.45933333333,8.30408333334
292.26,4.59733333334,5.96583333333,5.95941666666,5.42866666667,5.3895,5.92033333333,4.3745,7.13816666666,7.6785
292.64,4.94783333333,6.16333333334,6.20966666667,5.5095,5.58216666666,6.15,4.56466666666,7.57716666667,7.81808333334
293.01,4.812,5.67033333333,6.19083333334,5.6165,5.177,5.90716666667,4.43366666667,7.5765,7.79608333333
293.38,4.70283333333,5.21883333333,6.06691666666,5.56466666667,4.79783333333,5.73416666667,4.2685,7.6615,7.45125
293.75,4.78483333333,5.38816666667,6.24225,5.61883333334,4.70383333333,5.5915,4.426,7.6385,7.19125
294.12,4.45,4.796,6.0475,5.386,4.23983333334,5.18933333333,4.172,7.37366666667,6.85108333333
294.49,4.964,5.38416666667,6.72175,5.86466666667,4.48366666667,5.74433333333,4.63016666667,8.09316666667,7.39258333333
294.86,4.99866666667,5.36116666667,6.97691666666,5.75633333334,4.39,6.08,4.6945,8.1065,7.69875
295.23,5.0415,5.6705,7.42633333334,5.84366666666,4.55366666667,6.399,5.0785,8.26216666666,7.82116666667
295.60,4.69983333334,5.292,7.00908333333,5.4325,4.18416666667,6.124,5.145,8.02266666667,7.642
295.97,4.81216666667,4.9295,6.74025,5.18683333334,3.93466666667,5.88516666667,5.0695,7.73,7.40541666666
296.34,5.11583333334,5.1585,6.964,5.45633333333,4.16383333333,6.16866666667,5.40316666666,7.90783333334,7.75075
296.71,4.76983333333,4.8935,6.58133333334,5.22266666666,3.76133333334,6.00483333334,5.1355,7.58483333333,7.42258333333
