wavelength,Back_TanFucf,Belly_TanFucf,Breast_TanFucf,Crissum_TanFucf,Crown_TanFucf,DorTail_TanFucf,Patch10_TanFucf,Patch11_TanFucf,Patch12_TanFucf,Patch13_TanFucf,Rump_TanFucf,Throat_TanFucf,WingTip_TanFucf
804.99,19.6124444444,50.5453333333,21.8258888889,50.4128888889,26.1315555556,20.3194102564,15.9675555555,21.0108888889,19.6012222222,27.6071111111,27.7613333333,18.8856666667,21.4845555556
805.30,20.319,51.3531111111,22.5081111111,50.363,26.9856666667,21.1097991453,15.8858888889,21.2871111111,20.22,27.6567777778,28.3167777778,18.6796666667,21.8591111111
805.60,20.1555555555,51.5222222222,22.4666666667,50.0444444444,27.1222222222,21.079059829,15.5,21.3666666667,20.4,27.5777777778,28.1777777778,18.4777777778,22.1666666667
805.91,20.3052222222,51.3318888889,22.2666666667,49.8718888889,27.1703333333,21.0855128205,15.2234444444,21.4643333333,20.361,27.6048888889,27.7611111111,18.7117777778,21.431
806.21,20.1358888889,51.0884444444,21.8366666667,49.9432222222,26.9386666667,20.5968589744,14.796,21.1222222222,20.1361111111,27.347,27.3244444444,18.3218888889,20.771
806.52,19.8117777778,50.62,21.8664444445,50.2295555556,27.0202222222,20.5976324786,14.7843333333,21.0285555556,19.8346666667,26.894,27.2268888889,18.2163333333,20.317
806.83,20.1294444444,50.5492222222,21.6673333333,50.5261111111,26.824,21.0143632479,15.2156666667,21.4821111111,19.69,26.9742222222,27.217,18.5107777778,20.014
807.13,20.5201111111,51.111,21.2294444445,50.7565555556,26.8321111111,20.9168846154,14.929,21.1466666667,19.7872222222,26.5248888889,27.234,18.3688888889,19.7398888889
807.44,19.6842222222,51.1838888889,20.8863333333,50.9167777778,26.4236666666,20.5916752137,14.2683333333,20.4007777778,19.4777777778,26.1444444444,26.3995555555,17.79,18.4456666667
807.74,18.8826666667,50.1552222222,19.5528888889,49.7827777778,25.3011111111,19.1953162393,12.7994444444,19.1806666667,18.8328888889,25.3258888889,25.1644444444,16.1761111111,16.3873333333
