wavelength,Back_DigBarf,Belly_DigBarf,Breast_DigBarf,Crissum_DigBarf,Crown_DigBarf,DorTail_DigBarf,Rump_DigBarf,Throat_DigBarf,WingTip_DigBarf
762.26,20.7632222222,44.4028888889,36.5466666667,32.9468888889,18.6847777778,22.0434444445,22.2346666667,26.774,21.6902222222
762.57,20.3944444444,44.2555555556,36.1814444444,32.5983333333,18.2293333333,21.6638888889,21.945,26.412,21.2582222222
762.88,19.9703333333,43.738,35.7724444445,32.1507777778,17.9057777778,21.0198888889,21.6212222222,25.9454444444,20.7078888889
763.20,19.8496666667,43.5632222222,35.6256666667,32.0096666667,17.7823333333,21.0512222222,21.5395555555,25.9794444445,20.5973333333
763.51,19.9133333333,43.6037777778,35.5357777778,31.9336666667,17.6651111111,20.9248888889,21.4462222222,25.9842222222,20.4381111111
763.82,20.2243333333,43.9252222222,35.7822222222,32.3438888889,17.8587777778,20.9561111111,21.6496666667,26.2974444444,20.6073333333
764.14,20.3657777778,44.4327777778,36.1025555556,32.6746666667,18.028,21.1284444444,21.8446666667,26.3007777778,20.7162222222
764.45,20.0851111111,43.9755555556,35.8883333333,32.1965555556,17.667,20.9913333333,21.4487777778,26.0235555556,20.4991111111
764.76,19.4535555556,43.5081111111,35.3424444445,31.8705555556,17.0303333333,20.2492222222,20.9043333333,25.5013333333,19.94
765.07,19.5853333333,43.603,35.3151111111,31.7286666667,17.131,20.5678888889,21.1442222222,25.6964444444,20.1367777778
765.39,19.7931111111,43.5394444444,35.5113333333,31.7096666667,17.3247777778,20.5161111111,21.3216666667,25.799,20.2131111111
765.70,20.4313333333,43.7118888889,36.0195555555,32.162,17.6141111111,20.9967777778,21.7521111111,26.1655555556,20.359
766.01,20.4657777778,43.6536666666,36.0554444445,32.1116666667,17.8904444444,20.9818888889,21.9665555555,26.4546666667,20.6315555556
766.32,20.4717777778,43.4968888889,35.9913333333,31.987,17.7986666667,20.9107777778,21.6936666667,26.3365555556,20.4866666667
766.64,21.0011111111,43.8075555555,36.1826666667,32.3523333333,18.2662222222,21.335,22.0916666667,26.9348888889,20.829
766.95,20.7982222222,43.6808888889,36.1003333334,32.1636666667,18.3182222222,21.3774444444,22.114,26.8463333333,20.8091111111
767.26,20.9675555555,43.5644444444,36.104,32.0216666667,18.0887777778,21.5522222222,22.1712222222,26.7018888889,20.7006666667
767.57,21.2721111111,43.1756666667,36.1894444444,31.6648888889,18.2596666667,21.5676666667,22.3263333334,26.7814444445,20.8028888889
767.88,21.1366666667,43.1283333333,36.1897777778,31.726,18.1465555556,21.3671111111,22.2524444445,26.6678888889,20.6513333333
768.20,21.5321111111,43.3781111111,36.3697777778,31.972,18.5582222222,21.9208888889,22.6864444444,26.7895555556,20.8296666667
768.51,21.7078888889,43.3184444445,36.3666666667,31.7061111111,18.1214444444,21.7862222222,22.2743333333,26.5574444445,20.4583333333
768.82,21.1421111111,43.0085555556,35.8296666667,31.5547777778,17.9676666667,21.669,22.3868888889,26.4112222222,20.49
