wavelength,Back_ConRufm,Belly_ConRufm,Breast_ConRufm,Crissum_ConRufm,Crown_ConRufm,DorTail_ConRufm,Rump_ConRufm,Throat_ConRufm,WingTip_ConRufm
774.74,14.3287333333,36.9907666667,35.7734,35.1071,12.8331333333,19.0864,19.1872444444,36.3451333333,20.2780666667
775.05,14.1374,37.0974333333,35.5383333333,35.2346333333,12.5085333334,19.1232,19.1706166666,36.0154666667,20.0518666667
775.36,13.8102666667,36.6097,34.6863333333,34.891,12.1566,18.5484,18.7150601852,35.5674666666,19.5956
775.67,14.6946666667,37.4461666667,34.7052,35.6352,12.8916666667,19.2570666667,19.6075888889,36.5392666667,20.2963
775.98,14.4903333333,36.8144333333,34.2775333333,35.4864,12.7106,19.0089333333,19.4678981481,36.1816,19.8290333333
776.30,14.6118,37.0886666667,34.1771333333,35.1502,12.5673333333,19.3167333333,19.2630768519,36.0299333333,19.6169666667
776.61,15.6369333333,38.2099666667,35.2737333333,35.6004666667,13.3644,20.4512,20.0743527778,36.8404,20.6148333333
776.92,14.9099333333,38.0136666667,34.8890666667,35.0145,12.853,19.8643333333,19.495437037,36.1315333334,19.6527666667
777.23,15.0143333333,38.2516666667,34.6356,34.8172,12.9392,19.9377333333,19.5954787037,35.9792666667,19.4992666667
777.54,15.3997333333,38.5020666667,35.0986,35.2569666667,13.2088,20.1662,19.8341462963,36.5316666667,19.9193
777.85,15.4676666667,38.8242333333,35.1724,35.0661333333,13.4472666667,20.2744,19.9616657408,36.6797333333,20.0983666667
778.16,17.0042666667,40.1290333333,36.1433333333,36.5892333333,14.7821333333,21.4797333333,20.9713527778,38.0304,21.7427
778.47,17.3270666667,40.2294333333,36.0732666667,36.5116666667,14.9536,21.2279333333,20.9193296296,38.4726666667,22.0947666667
778.78,17.6752666667,40.5239666667,36.7162666667,36.7763,15.1420666667,21.2457333333,21.1322351852,38.4884,22.4132
779.09,15.3134,39.4429666667,35.6632,35.6253333333,13.0910666666,19.3328,19.2464888889,36.5671333333,20.4034333333
779.40,14.0049333333,39.2484666667,35.1334666667,35.2076666667,12.023,18.5300666667,18.1815564815,35.9207333333,19.6918
779.71,13.2555333333,38.9944,34.7444,34.4776666667,11.7666,17.7612,17.8487824074,35.5778,19.7248666667
780.02,11.973,38.1118,33.8528,33.7116666667,10.3866666667,16.5509333333,16.5644509259,34.5356666667,18.3912333333
780.33,11.6155333333,37.7069666667,33.6507333333,33.2396666667,10.0056666667,16.3038,16.3167101852,34.0023333333,18.0982
780.64,12.3177333333,38.5915,34.5496,33.9357,10.8376,16.8445333333,17.1368,34.5782666667,18.8983
780.95,12.3909333333,39.0665,34.6969333333,34.2258666667,10.916,17.1611333333,17.1975259259,34.7967333333,18.6595666667
781.26,12.6394666667,39.4692,35.2728,34.7361666667,11.5717333333,17.5564666666,17.7499027778,34.9526666667,18.8197666667
781.57,12.305,39.13,34.9774666667,34.4755333333,11.3720666667,17.0522666667,18.0697259259,34.5051333333,18.3915666667
781.88,11.8156,38.8046,35.0798666667,34.2456,11.0748,17.0973333333,17.9502296296,33.9414666667,18.1061
782.19,11.953,38.7974333333,34.9247333333,34.3549333333,11.2417333334,17.6490666667,18.2383212963,33.9662,18.2881333333
782.50,13.3094,39.5851666667,35.7438666666,35.6236333333,12.4616666667,18.5754666667,19.5183712963,35.257,19.6123333333
