wavelength,Back_OryNutm,Belly_OryNutm,Breast_OryNutm,Crissum_OryNutm,Crown_OryNutm,DorTail_OryNutm,Rump_OryNutm,Throat_OryNutm,WingTip_OryNutm
650.11,6.2362,5.90283333333,6.62226666667,7.25033333333,7.01911111111,8.78236666667,6.3301,6.80453333333,10.1491333333
650.44,6.2242,5.91696666667,6.6152,7.26586666667,6.98617777778,8.7926,6.3326,6.75673333333,10.1216
650.77,6.21193333333,5.85936666667,6.58353333333,7.24413333334,6.97064444445,8.79616666667,6.2971,6.7856,10.1085333333
651.10,6.17326666667,5.86603333333,6.57606666667,7.27006666667,6.92546666667,8.79343333333,6.25383333334,6.75093333333,10.0329333333
651.43,6.49506666667,6.17316666667,6.78556666667,7.55566666667,7.19477777778,9.03766666667,6.5414,6.99866666667,10.3499333333
651.76,6.60213333333,6.34556666667,6.94003333333,7.75513333333,7.31928888889,9.13093333333,6.6806,7.12006666667,10.4782
652.09,6.63626666667,6.40553333333,6.91826666667,7.85333333333,7.37313333333,9.1344,6.66696666667,7.131,10.5408
652.42,6.5528,6.31333333333,6.82063333333,7.748,7.35062222222,9.08016666667,6.6008,7.0494,10.5091333333
652.75,6.45313333333,6.19133333333,6.70996666667,7.66193333333,7.2302,8.94393333333,6.48886666667,6.90546666667,10.4157333333
653.08,6.28606666667,5.9652,6.47443333333,7.4888,7.0102,8.72946666667,6.30796666667,6.71213333333,10.1948666667
653.41,6.224,5.9027,6.3558,7.352,6.87115555556,8.65223333333,6.24036666667,6.5908,10.0380666667
653.74,6.21086666667,5.82066666667,6.36373333333,7.30186666667,6.80591111111,8.64603333333,6.1692,6.53273333333,10.0093333333
654.06,6.2664,5.86943333333,6.51776666667,7.38413333333,6.89702222222,8.7217,6.21713333333,6.56246666667,10.0492666667
654.39,6.14413333333,5.83853333333,6.4897,7.36993333333,6.76848888889,8.61606666667,6.11183333333,6.41813333333,9.96400000001
654.72,6.07746666667,5.7393,6.43126666667,7.287,6.71502222222,8.5787,6.04506666667,6.32013333333,9.93086666666
655.05,5.98146666667,5.5879,6.33113333333,7.1426,6.59173333333,8.4205,5.8755,6.24146666667,9.81613333334
655.38,5.95113333333,5.542,6.26803333333,7.08193333333,6.59151111111,8.4482,5.85906666667,6.23826666667,9.83913333335
655.71,5.76813333333,5.384,6.1385,6.87846666667,6.37451111111,8.2768,5.70786666667,6.03393333333,9.67293333333
656.04,5.8738,5.47226666667,6.2961,6.98533333333,6.47237777778,8.31863333333,5.78443333333,6.133,9.68686666666
656.37,5.9004,5.53243333333,6.3858,7.0256,6.53137777778,8.37856666667,5.8038,6.16053333333,9.735
656.69,5.90226666667,5.5742,6.41193333333,7.0268,6.58166666667,8.39686666667,5.81513333334,6.2024,9.73940000001
657.02,6.1616,5.7882,6.66866666667,7.34373333333,6.90677777778,8.62846666667,6.10173333333,6.51566666667,10.0641333333
657.35,6.1948,5.8482,6.6841,7.34333333333,6.96395555556,8.72336666667,6.14036666667,6.58226666667,10.1327333334
