wavelength,Back_CamParm,Belly_CamParm,Breast_CamParm,Crissum_CamParm,Crown_CamParm,DorTail_CamParm,Rump_CamParm,Throat_CamParm,WingTip_CamParm
789.62,18.6326,48.4651,11.2739333333,36.3937333333,10.3333333333,16.8822666667,20.0297274074,8.91273333334,22.6626666667
789.92,19.1008666667,49.1422666667,11.5351333333,36.635,10.3313733334,17.3344,20.275897037,9.31779999999,22.6852666667
790.23,19.7066333333,49.7615333333,11.8418666667,37.2382333333,10.97312,17.8971333333,20.78232,9.57993333333,23.1470666667
790.54,20.3077666667,50.4912,12.3307333333,38.0025666667,11.4075333333,18.4579333333,21.2167422222,9.96940000001,23.8116666667
790.85,20.9979,50.8450333333,13.0627333333,38.3409333333,12.3613866666,19.265,21.6669074074,11.2200666667,24.686
791.16,20.5511333333,50.7349666667,12.3202666667,38.2651,12.03768,19.2073333333,21.2725770371,10.6718666667,24.84
791.47,21.3034333333,51.4233,12.8865333333,38.7043666667,12.7086266667,20.2342666667,21.8587177778,11.386,25.294
791.78,21.9779,52.0965,13.4466,39.4368666666,13.0650266667,20.5552,22.3305059259,11.7759333333,26.0846
792.08,22.6831666667,53.101,14.4123333333,40.3264666667,13.8346666667,21.3720666667,23.0672837037,12.5092,26.6058666667
792.39,22.3066333333,52.3782333333,14.2416,39.8044,13.2409066667,20.8478,22.842402963,12.3368666667,26.4408666667
792.70,22.8675666667,53.2491666667,15.0674,40.1374666667,13.4096266667,21.7508,23.5238014815,12.3176,27.2277333333
793.01,22.0282,52.1355333333,14.6496,39.5395333333,12.8779333333,21.13,22.7793511111,12.0506666667,26.3334
793.32,21.7813666667,52.2634,14.7216,39.8767,12.5232266667,21.0040666667,22.8235081481,11.7039333333,26.2078
793.62,22.2026333333,51.9627666667,15.3524,39.7320666667,12.8471066666,21.4101333333,23.0765162963,12.1038,26.1984
793.93,21.4687333333,51.2297333333,14.2158,39.0434333333,11.9656666666,20.5693333333,22.2491866667,11.4603333333,25.3628
794.24,22.1113,51.6638666667,14.2972666667,39.5181666667,12.0275733334,20.6770666667,22.8261066667,11.6982,25.4445333333
794.55,22.3809,51.2669666667,14.5748,39.5039,12.1835733333,20.4138,23.1624022222,11.9330666667,25.2267333333
794.86,21.9931333333,51.0521,14.0862666667,39.2557333333,11.98984,19.9429333333,23.1300859259,11.2462666667,25.2408
795.16,21.3513666667,50.0960666667,13.6442666667,38.8182333333,11.3859466666,19.4006666667,22.6265740741,11.0488,24.4841333333
795.47,21.4572,50.6168,13.2653333333,39.3011666667,11.3650533333,19.4567333333,23.0979903704,11.2562666667,24.5332
795.78,22.0946666667,51.6893333333,13.8605333333,39.9122,12.43772,20.2153333333,23.6736207408,12.2678,24.8072666667
796.09,21.5004,51.2163333333,12.9753333334,39.7981333334,11.9954266667,19.5964666667,22.8634859259,12.2137333333,24.1091333333
796.40,22.0174,51.6807,13.367,40.6257333333,12.4949066667,20.185,23.5363177778,12.744,24.7642666667
796.70,22.3885333333,51.9118666667,13.7291333333,41.02,13.24972,20.6298,23.96592,13.7736,25.3679333333
797.01,22.1532,52.227,13.3276666667,41.4325,13.03832,20.2042,24.400982963,13.7984,25.4695333333
797.32,22.8551333333,52.4386333333,14.1332,42.0024333333,13.6577066667,20.9620666667,25.1972,14.6588,25.8164666667
