wavelength,Back_CamPsif,Belly_CamPsif,Breast_CamPsif,Crissum_CamPsif,Crown_CamPsif,DorTail_CamPsif,Rump_CamPsif,Throat_CamPsif,WingTip_CamPsif
853.34,26.5807666666,48.8125333333,48.1116333333,48.1573133333,14.8497333333,32.4464,31.0730666667,33.2189333333,37.9971666667
853.64,28.2127333334,50.5247333333,49.9857333333,49.3986066667,17.3618,35.2482,33.8438666667,36.6242,39.8156
853.94,30.4938333333,52.9492,51.3031333333,49.9039066667,20.0,38.2167666667,36.8038333333,39.8078666667,39.9863666667
854.23,33.0649,53.7853333333,52.6694333333,52.86994,21.6668,39.9152,39.2374,40.7626666667,43.0649666667
854.53,39.3994,60.5404666667,58.4235666667,61.1442066667,29.4294666667,44.7448333333,47.0570333333,50.1202666666,50.9308
854.83,40.7423333333,60.0842,55.8124,61.0643266667,32.0729333333,46.3166,46.8486666667,50.3081333333,51.5406666667
855.13,44.1134333333,64.1986666667,61.6169333333,64.0142733333,37.8156666667,49.0780666667,50.0426333333,52.9078,55.7872666666
855.43,43.6006,61.6597333334,58.2841,62.9957666667,36.737,49.2968,49.4091333333,53.2490666667,55.4570666667
855.72,42.2599,63.4181333333,58.4464,64.22886,36.6102666667,49.7598,49.5904,53.7852666667,55.5933
856.02,42.4191333333,61.9127333333,56.9339,64.4079333333,38.5373333333,51.8426333333,50.0703333333,53.9522,57.9886666667
856.32,46.5379333334,65.1502666667,58.7269,67.9485266667,43.6051333333,55.7224666667,52.9041333333,58.7696,62.5037333333
856.62,49.3224333333,66.4768666666,59.5393666667,70.103,47.2629333333,56.1112666667,53.916,62.141,64.2547333333
856.91,54.4848333333,73.4846666667,65.6363666667,78.6787466667,52.7878666667,60.9546,59.2425333333,66.7576666667,70.8787666667
857.21,58.7281,79.7745333333,70.2577333333,86.2608666667,57.9066666667,64.7021666667,64.3318666667,71.9164666667,78.6794666667
857.51,58.9221333333,81.9900666667,71.2106666667,86.0663200001,58.5738666667,64.5275,66.5671666667,76.6833333333,80.0497666667
857.81,53.7372333333,79.0572666667,69.0570666667,80.9158133333,55.5218666667,61.3298666667,61.128,71.0438,75.9596666667
858.10,51.4095333334,75.9204,66.2686666667,78.33824,54.461,57.8109333333,58.3913666666,68.7562666667,72.5373
858.40,50.1889,75.7731333333,63.4193666667,79.19596,53.2646666667,55.1546333333,60.3951333333,69.5188,71.5635333333
